date,how to reactivate instagram,how to delete a instagram account
2011-01-01,0,0
2011-02-01,1,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,1,1
2011-09-01,1,1
2011-10-01,1,1
2011-11-01,1,3
2011-12-01,1,2
2012-01-01,1,3
2012-02-01,2,3
2012-03-01,2,3
2012-04-01,8,8
2012-05-01,4,10
2012-06-01,8,14
2012-07-01,10,19
2012-08-01,11,24
2012-09-01,11,21
2012-10-01,11,22
2012-11-01,9,22
2012-12-01,16,28
2013-01-01,19,37
2013-02-01,12,40
2013-03-01,17,30
2013-04-01,15,34
2013-05-01,23,33
2013-06-01,21,52
2013-07-01,24,42
2013-08-01,20,46
2013-09-01,20,28
2013-10-01,16,32
2013-11-01,16,30
2013-12-01,18,46
2014-01-01,18,44
2014-02-01,18,41
2014-03-01,15,42
2014-04-01,20,50
2014-05-01,17,42
2014-06-01,23,50
2014-07-01,21,58
2014-08-01,19,48
2014-09-01,13,40
2014-10-01,12,39
2014-11-01,15,47
2014-12-01,16,62
2015-01-01,16,67
2015-02-01,17,56
2015-03-01,16,60
2015-04-01,19,70
2015-05-01,14,54
2015-06-01,18,60
2015-07-01,26,90
2015-08-01,43,82
2015-09-01,36,67
2015-10-01,29,63
2015-11-01,36,61
2015-12-01,40,66
2016-01-01,37,89
2016-02-01,38,72
2016-03-01,37,87
2016-04-01,42,71
2016-05-01,42,76
2016-06-01,50,95
2016-07-01,50,98
2016-08-01,52,81
2016-09-01,47,72
2016-10-01,50,79
2016-11-01,47,88
2016-12-01,60,100
2017-01-01,63,99
