date,instagram deleted my account,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,1,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,1
2011-09-01,0,1
2011-10-01,0,1
2011-11-01,0,3
2011-12-01,0,2
2012-01-01,1,3
2012-02-01,1,3
2012-03-01,2,3
2012-04-01,3,8
2012-05-01,3,10
2012-06-01,5,14
2012-07-01,2,19
2012-08-01,5,24
2012-09-01,3,21
2012-10-01,3,22
2012-11-01,4,22
2012-12-01,8,28
2013-01-01,9,37
2013-02-01,5,40
2013-03-01,9,30
2013-04-01,8,34
2013-05-01,30,33
2013-06-01,12,52
2013-07-01,18,42
2013-08-01,10,46
2013-09-01,8,28
2013-10-01,8,32
2013-11-01,7,30
2013-12-01,15,46
2014-01-01,13,44
2014-02-01,6,41
2014-03-01,11,42
2014-04-01,9,50
2014-05-01,10,42
2014-06-01,11,50
2014-07-01,11,58
2014-08-01,11,48
2014-09-01,13,40
2014-10-01,12,39
2014-11-01,11,47
2014-12-01,22,62
2015-01-01,15,67
2015-02-01,18,56
2015-03-01,15,60
2015-04-01,11,70
2015-05-01,11,54
2015-06-01,25,60
2015-07-01,24,90
2015-08-01,14,82
2015-09-01,11,67
2015-10-01,15,63
2015-11-01,19,61
2015-12-01,21,66
2016-01-01,17,89
2016-02-01,14,72
2016-03-01,15,87
2016-04-01,19,71
2016-05-01,24,76
2016-06-01,23,95
2016-07-01,25,98
2016-08-01,29,81
2016-09-01,23,72
2016-10-01,27,79
2016-11-01,27,88
2016-12-01,51,100
2017-01-01,39,99
