date,How do i delete Instagram account,how to delete a instagram account
2011-01-01,1,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,1,0
2011-06-01,0,0
2011-07-01,2,1
2011-08-01,2,0
2011-09-01,1,1
2011-10-01,3,2
2011-11-01,3,2
2011-12-01,4,3
2012-01-01,4,4
2012-02-01,5,5
2012-03-01,7,3
2012-04-01,14,11
2012-05-01,13,10
2012-06-01,12,13
2012-07-01,14,17
2012-08-01,14,23
2012-09-01,15,20
2012-10-01,24,18
2012-11-01,25,16
2012-12-01,38,27
2013-01-01,52,36
2013-02-01,49,37
2013-03-01,31,27
2013-04-01,27,28
2013-05-01,24,36
2013-06-01,57,52
2013-07-01,33,41
2013-08-01,27,46
2013-09-01,23,32
2013-10-01,37,33
2013-11-01,36,30
2013-12-01,19,44
2014-01-01,25,39
2014-02-01,34,42
2014-03-01,50,37
2014-04-01,46,45
2014-05-01,24,42
2014-06-01,27,48
2014-07-01,43,60
2014-08-01,40,50
2014-09-01,38,40
2014-10-01,23,41
2014-11-01,30,47
2014-12-01,45,60
2015-01-01,48,66
2015-02-01,26,56
2015-03-01,22,59
2015-04-01,29,65
2015-05-01,40,52
2015-06-01,43,61
2015-07-01,41,85
2015-08-01,50,88
2015-09-01,56,62
2015-10-01,64,65
2015-11-01,41,62
2015-12-01,37,62
2016-01-01,47,80
2016-02-01,68,71
2016-03-01,54,84
2016-04-01,42,67
2016-05-01,43,77
2016-06-01,76,89
2016-07-01,77,100
2016-08-01,62,82
2016-09-01,43,61
2016-10-01,58,79
2016-11-01,76,85
2016-12-01,68,96
2017-01-01,67,93
