date,How to delete Instagram,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,1,0
2011-07-01,1,0
2011-08-01,1,0
2011-09-01,1,0
2011-10-01,1,0
2011-11-01,2,0
2011-12-01,3,0
2012-01-01,5,0
2012-02-01,6,0
2012-03-01,7,0
2012-04-01,20,0
2012-05-01,20,0
2012-06-01,27,1
2012-07-01,33,1
2012-08-01,38,1
2012-09-01,36,1
2012-10-01,37,1
2012-11-01,43,1
2012-12-01,67,1
2013-01-01,61,2
2013-02-01,60,2
2013-03-01,59,1
2013-04-01,56,1
2013-05-01,52,2
2013-06-01,60,2
2013-07-01,64,2
2013-08-01,62,2
2013-09-01,52,1
2013-10-01,48,2
2013-11-01,48,1
2013-12-01,57,2
2014-01-01,61,2
2014-02-01,54,2
2014-03-01,60,2
2014-04-01,60,2
2014-05-01,56,2
2014-06-01,60,2
2014-07-01,63,3
2014-08-01,62,2
2014-09-01,55,2
2014-10-01,53,2
2014-11-01,54,2
2014-12-01,61,3
2015-01-01,67,3
2015-02-01,57,3
2015-03-01,58,3
2015-04-01,58,3
2015-05-01,55,2
2015-06-01,61,3
2015-07-01,74,4
2015-08-01,74,4
2015-09-01,66,3
2015-10-01,62,3
2015-11-01,65,3
2015-12-01,71,3
2016-01-01,74,4
2016-02-01,72,3
2016-03-01,75,4
2016-04-01,73,3
2016-05-01,74,4
2016-06-01,81,4
2016-07-01,87,5
2016-08-01,85,4
2016-09-01,76,3
2016-10-01,81,4
2016-11-01,89,4
2016-12-01,94,4
2017-01-01,100,4
