date,Instagram account cancel,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,1,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,1,1
2011-08-01,1,0
2011-09-01,3,1
2011-10-01,1,0
2011-11-01,3,2
2011-12-01,2,2
2012-01-01,4,3
2012-02-01,6,4
2012-03-01,2,2
2012-04-01,10,13
2012-05-01,4,9
2012-06-01,8,17
2012-07-01,10,17
2012-08-01,4,20
2012-09-01,6,19
2012-10-01,7,17
2012-11-01,9,19
2012-12-01,24,29
2013-01-01,16,37
2013-02-01,11,39
2013-03-01,12,28
2013-04-01,6,33
2013-05-01,15,32
2013-06-01,9,47
2013-07-01,9,42
2013-08-01,14,51
2013-09-01,11,36
2013-10-01,12,30
2013-11-01,7,27
2013-12-01,4,42
2014-01-01,11,44
2014-02-01,11,37
2014-03-01,10,39
2014-04-01,8,39
2014-05-01,10,37
2014-06-01,13,42
2014-07-01,9,55
2014-08-01,7,56
2014-09-01,9,42
2014-10-01,11,38
2014-11-01,7,51
2014-12-01,10,62
2015-01-01,8,70
2015-02-01,5,50
2015-03-01,10,56
2015-04-01,12,63
2015-05-01,11,51
2015-06-01,15,62
2015-07-01,10,80
2015-08-01,8,76
2015-09-01,13,65
2015-10-01,16,62
2015-11-01,11,62
2015-12-01,9,56
2016-01-01,16,82
2016-02-01,14,76
2016-03-01,18,86
2016-04-01,12,66
2016-05-01,17,69
2016-06-01,10,87
2016-07-01,13,100
2016-08-01,13,82
2016-09-01,13,61
2016-10-01,17,78
2016-11-01,18,79
2016-12-01,20,91
2017-01-01,19,92
