date,how to delete account on instagram,how to delete a instagram account
2011-01-01,0,0
2011-02-01,1,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,1,0
2011-07-01,0,1
2011-08-01,0,0
2011-09-01,2,0
2011-10-01,1,2
2011-11-01,2,2
2011-12-01,1,2
2012-01-01,3,3
2012-02-01,5,4
2012-03-01,4,2
2012-04-01,12,9
2012-05-01,11,7
2012-06-01,18,11
2012-07-01,20,13
2012-08-01,24,16
2012-09-01,24,12
2012-10-01,29,12
2012-11-01,25,11
2012-12-01,41,21
2013-01-01,40,28
2013-02-01,46,27
2013-03-01,49,20
2013-04-01,40,19
2013-05-01,49,26
2013-06-01,60,40
2013-07-01,53,29
2013-08-01,50,34
2013-09-01,37,25
2013-10-01,34,23
2013-11-01,36,21
2013-12-01,44,36
2014-01-01,45,29
2014-02-01,37,30
2014-03-01,50,26
2014-04-01,41,33
2014-05-01,39,32
2014-06-01,43,35
2014-07-01,43,45
2014-08-01,42,38
2014-09-01,37,28
2014-10-01,33,31
2014-11-01,48,40
2014-12-01,53,47
2015-01-01,56,53
2015-02-01,40,45
2015-03-01,43,45
2015-04-01,51,50
2015-05-01,51,39
2015-06-01,61,46
2015-07-01,72,65
2015-08-01,68,65
2015-09-01,57,46
2015-10-01,55,47
2015-11-01,49,46
2015-12-01,73,44
2016-01-01,74,59
2016-02-01,75,55
2016-03-01,75,66
2016-04-01,71,52
2016-05-01,69,57
2016-06-01,88,66
2016-07-01,100,79
2016-08-01,93,60
2016-09-01,70,39
2016-10-01,83,60
2016-11-01,90,61
2016-12-01,97,74
2017-01-01,92,71
