date,how to delete a instagram account
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,1
2011-08-01,0
2011-09-01,1
2011-10-01,2
2011-11-01,2
2011-12-01,3
2012-01-01,4
2012-02-01,5
2012-03-01,3
2012-04-01,11
2012-05-01,10
2012-06-01,13
2012-07-01,17
2012-08-01,23
2012-09-01,20
2012-10-01,18
2012-11-01,16
2012-12-01,27
2013-01-01,36
2013-02-01,37
2013-03-01,27
2013-04-01,28
2013-05-01,36
2013-06-01,52
2013-07-01,41
2013-08-01,46
2013-09-01,32
2013-10-01,33
2013-11-01,30
2013-12-01,44
2014-01-01,39
2014-02-01,42
2014-03-01,37
2014-04-01,45
2014-05-01,42
2014-06-01,48
2014-07-01,60
2014-08-01,50
2014-09-01,40
2014-10-01,41
2014-11-01,47
2014-12-01,60
2015-01-01,66
2015-02-01,56
2015-03-01,59
2015-04-01,65
2015-05-01,52
2015-06-01,61
2015-07-01,85
2015-08-01,88
2015-09-01,62
2015-10-01,65
2015-11-01,62
2015-12-01,62
2016-01-01,80
2016-02-01,71
2016-03-01,84
2016-04-01,67
2016-05-01,77
2016-06-01,89
2016-07-01,100
2016-08-01,82
2016-09-01,61
2016-10-01,79
2016-11-01,85
2016-12-01,96
2017-01-01,93
