date,get rid of instagram,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,1,0
2011-05-01,1,0
2011-06-01,1,1
2011-07-01,1,1
2011-08-01,1,0
2011-09-01,2,0
2011-10-01,1,1
2011-11-01,1,1
2011-12-01,2,1
2012-01-01,3,1
2012-02-01,5,2
2012-03-01,5,1
2012-04-01,12,5
2012-05-01,16,6
2012-06-01,18,5
2012-07-01,21,8
2012-08-01,25,12
2012-09-01,20,10
2012-10-01,26,8
2012-11-01,28,8
2012-12-01,31,14
2013-01-01,29,19
2013-02-01,36,20
2013-03-01,37,14
2013-04-01,45,16
2013-05-01,49,18
2013-06-01,55,22
2013-07-01,62,20
2013-08-01,54,23
2013-09-01,50,16
2013-10-01,39,15
2013-11-01,44,13
2013-12-01,47,20
2014-01-01,52,23
2014-02-01,44,20
2014-03-01,51,20
2014-04-01,56,21
2014-05-01,52,21
2014-06-01,59,22
2014-07-01,67,26
2014-08-01,56,25
2014-09-01,57,20
2014-10-01,61,22
2014-11-01,53,24
2014-12-01,62,30
2015-01-01,59,34
2015-02-01,54,26
2015-03-01,51,26
2015-04-01,53,31
2015-05-01,53,27
2015-06-01,59,27
2015-07-01,69,45
2015-08-01,61,39
2015-09-01,58,33
2015-10-01,56,32
2015-11-01,57,28
2015-12-01,68,36
2016-01-01,72,38
2016-02-01,61,36
2016-03-01,71,40
2016-04-01,72,33
2016-05-01,69,36
2016-06-01,72,44
2016-07-01,73,49
2016-08-01,77,39
2016-09-01,69,33
2016-10-01,75,37
2016-11-01,100,43
2016-12-01,92,48
2017-01-01,94,49
