date,incognito mode shortcut,how to browse anonymously
2011-01-01,13,37
2011-02-01,8,28
2011-03-01,13,28
2011-04-01,12,19
2011-05-01,18,33
2011-06-01,20,50
2011-07-01,8,54
2011-08-01,19,56
2011-09-01,18,62
2011-10-01,14,29
2011-11-01,20,27
2011-12-01,13,38
2012-01-01,15,62
2012-02-01,23,38
2012-03-01,34,57
2012-04-01,21,52
2012-05-01,19,41
2012-06-01,26,43
2012-07-01,22,64
2012-08-01,24,44
2012-09-01,45,55
2012-10-01,36,56
2012-11-01,48,54
2012-12-01,29,63
2013-01-01,29,52
2013-02-01,20,45
2013-03-01,42,50
2013-04-01,30,69
2013-05-01,48,64
2013-06-01,33,77
2013-07-01,77,63
2013-08-01,44,74
2013-09-01,36,69
2013-10-01,48,43
2013-11-01,42,58
2013-12-01,51,63
2014-01-01,47,55
2014-02-01,42,72
2014-03-01,48,71
2014-04-01,47,78
2014-05-01,22,55
2014-06-01,48,82
2014-07-01,70,89
2014-08-01,56,94
2014-09-01,46,60
2014-10-01,54,66
2014-11-01,60,69
2014-12-01,45,75
2015-01-01,39,66
2015-02-01,48,54
2015-03-01,44,65
2015-04-01,50,68
2015-05-01,45,51
2015-06-01,49,50
2015-07-01,49,76
2015-08-01,63,100
2015-09-01,77,77
2015-10-01,58,64
2015-11-01,70,50
2015-12-01,71,45
2016-01-01,65,51
2016-02-01,72,66
2016-03-01,59,47
2016-04-01,51,45
2016-05-01,73,50
2016-06-01,72,48
2016-07-01,83,67
2016-08-01,78,52
2016-09-01,58,49
2016-10-01,67,54
2016-11-01,54,64
2016-12-01,74,57
2017-01-01,97,64
