date,anonymous web surfing,how to browse anonymously
2011-01-01,100,12
2011-02-01,85,9
2011-03-01,78,9
2011-04-01,68,6
2011-05-01,69,10
2011-06-01,62,16
2011-07-01,65,17
2011-08-01,59,18
2011-09-01,59,20
2011-10-01,59,9
2011-11-01,47,9
2011-12-01,54,12
2012-01-01,58,20
2012-02-01,66,12
2012-03-01,56,18
2012-04-01,53,17
2012-05-01,56,13
2012-06-01,44,14
2012-07-01,55,20
2012-08-01,46,14
2012-09-01,62,17
2012-10-01,43,18
2012-11-01,44,17
2012-12-01,51,20
2013-01-01,38,17
2013-02-01,41,14
2013-03-01,38,16
2013-04-01,33,22
2013-05-01,33,20
2013-06-01,44,24
2013-07-01,28,20
2013-08-01,36,24
2013-09-01,29,22
2013-10-01,28,14
2013-11-01,30,18
2013-12-01,23,20
2014-01-01,29,17
2014-02-01,35,23
2014-03-01,26,22
2014-04-01,26,24
2014-05-01,27,17
2014-06-01,32,26
2014-07-01,33,28
2014-08-01,27,30
2014-09-01,31,19
2014-10-01,20,21
2014-11-01,18,22
2014-12-01,20,24
2015-01-01,21,21
2015-02-01,15,17
2015-03-01,15,21
2015-04-01,15,21
2015-05-01,18,16
2015-06-01,17,16
2015-07-01,15,24
2015-08-01,18,32
2015-09-01,12,24
2015-10-01,20,20
2015-11-01,14,16
2015-12-01,12,14
2016-01-01,19,16
2016-02-01,12,21
2016-03-01,8,15
2016-04-01,10,14
2016-05-01,9,16
2016-06-01,8,15
2016-07-01,14,21
2016-08-01,12,16
2016-09-01,14,15
2016-10-01,12,17
2016-11-01,9,20
2016-12-01,6,18
2017-01-01,8,20
