date,anonymous browsing chrome,how to browse anonymously
2011-01-01,16,38
2011-02-01,28,28
2011-03-01,18,28
2011-04-01,41,19
2011-05-01,20,33
2011-06-01,20,50
2011-07-01,21,54
2011-08-01,32,56
2011-09-01,17,62
2011-10-01,32,29
2011-11-01,34,27
2011-12-01,27,38
2012-01-01,50,62
2012-02-01,26,38
2012-03-01,24,57
2012-04-01,36,53
2012-05-01,45,41
2012-06-01,43,43
2012-07-01,46,64
2012-08-01,40,44
2012-09-01,28,55
2012-10-01,25,56
2012-11-01,18,54
2012-12-01,29,63
2013-01-01,34,52
2013-02-01,29,46
2013-03-01,23,50
2013-04-01,35,69
2013-05-01,30,64
2013-06-01,43,77
2013-07-01,34,63
2013-08-01,33,75
2013-09-01,35,69
2013-10-01,37,43
2013-11-01,33,58
2013-12-01,36,64
2014-01-01,17,55
2014-02-01,26,73
2014-03-01,37,71
2014-04-01,20,77
2014-05-01,23,55
2014-06-01,31,82
2014-07-01,31,89
2014-08-01,30,94
2014-09-01,29,60
2014-10-01,32,66
2014-11-01,40,69
2014-12-01,17,75
2015-01-01,31,66
2015-02-01,32,54
2015-03-01,28,65
2015-04-01,27,68
2015-05-01,21,52
2015-06-01,22,50
2015-07-01,37,76
2015-08-01,34,100
2015-09-01,30,78
2015-10-01,25,64
2015-11-01,25,50
2015-12-01,31,45
2016-01-01,31,51
2016-02-01,22,66
2016-03-01,18,47
2016-04-01,22,46
2016-05-01,15,50
2016-06-01,26,48
2016-07-01,21,67
2016-08-01,23,52
2016-09-01,17,49
2016-10-01,24,54
2016-11-01,21,65
2016-12-01,23,57
2017-01-01,16,64
