date,incognito browser,how to browse anonymously
2011-01-01,18,9
2011-02-01,19,6
2011-03-01,21,10
2011-04-01,22,10
2011-05-01,24,2
2011-06-01,27,9
2011-07-01,30,9
2011-08-01,24,10
2011-09-01,22,10
2011-10-01,30,9
2011-11-01,31,5
2011-12-01,43,9
2012-01-01,33,11
2012-02-01,28,14
2012-03-01,30,9
2012-04-01,30,11
2012-05-01,33,11
2012-06-01,39,11
2012-07-01,36,13
2012-08-01,36,10
2012-09-01,30,16
2012-10-01,45,10
2012-11-01,44,12
2012-12-01,44,10
2013-01-01,41,13
2013-02-01,35,9
2013-03-01,45,8
2013-04-01,46,10
2013-05-01,44,12
2013-06-01,54,13
2013-07-01,55,8
2013-08-01,54,5
2013-09-01,64,11
2013-10-01,66,7
2013-11-01,60,5
2013-12-01,75,13
2014-01-01,75,10
2014-02-01,61,10
2014-03-01,59,13
2014-04-01,59,13
2014-05-01,62,8
2014-06-01,64,16
2014-07-01,70,20
2014-08-01,77,13
2014-09-01,60,9
2014-10-01,63,13
2014-11-01,77,14
2014-12-01,75,19
2015-01-01,86,13
2015-02-01,89,10
2015-03-01,69,13
2015-04-01,72,14
2015-05-01,76,9
2015-06-01,72,13
2015-07-01,82,14
2015-08-01,84,16
2015-09-01,78,15
2015-10-01,78,14
2015-11-01,84,9
2015-12-01,98,9
2016-01-01,77,6
2016-02-01,83,11
2016-03-01,86,9
2016-04-01,81,7
2016-05-01,78,10
2016-06-01,84,10
2016-07-01,83,13
2016-08-01,91,9
2016-09-01,100,11
2016-10-01,88,10
2016-11-01,88,10
2016-12-01,95,11
2017-01-01,94,8
