date,anon browsing,how to browse anonymously
2011-01-01,16,39
2011-02-01,17,54
2011-03-01,31,49
2011-04-01,15,29
2011-05-01,21,33
2011-06-01,19,53
2011-07-01,19,69
2011-08-01,26,56
2011-09-01,13,72
2011-10-01,8,44
2011-11-01,8,38
2011-12-01,0,48
2012-01-01,22,82
2012-02-01,8,62
2012-03-01,26,58
2012-04-01,15,76
2012-05-01,14,68
2012-06-01,17,81
2012-07-01,12,94
2012-08-01,14,57
2012-09-01,22,52
2012-10-01,11,71
2012-11-01,11,35
2012-12-01,13,72
2013-01-01,12,65
2013-02-01,13,54
2013-03-01,12,54
2013-04-01,6,81
2013-05-01,12,65
2013-06-01,16,97
2013-07-01,87,62
2013-08-01,35,65
2013-09-01,21,72
2013-10-01,5,66
2013-11-01,9,55
2013-12-01,6,70
2014-01-01,9,87
2014-02-01,9,60
2014-03-01,17,78
2014-04-01,17,76
2014-05-01,12,56
2014-06-01,12,74
2014-07-01,9,92
2014-08-01,6,94
2014-09-01,13,72
2014-10-01,5,72
2014-11-01,14,76
2014-12-01,9,78
2015-01-01,15,92
2015-02-01,14,56
2015-03-01,8,78
2015-04-01,5,71
2015-05-01,7,57
2015-06-01,15,68
2015-07-01,10,69
2015-08-01,14,100
2015-09-01,9,86
2015-10-01,7,52
2015-11-01,5,62
2015-12-01,9,64
2016-01-01,13,53
2016-02-01,6,71
2016-03-01,8,61
2016-04-01,13,39
2016-05-01,8,49
2016-06-01,8,67
2016-07-01,4,75
2016-08-01,4,68
2016-09-01,6,75
2016-10-01,5,62
2016-11-01,5,54
2016-12-01,8,82
2017-01-01,7,65
