date,browse anonymously,how to browse anonymously
2011-01-01,55,13
2011-02-01,65,19
2011-03-01,73,17
2011-04-01,51,10
2011-05-01,59,12
2011-06-01,67,19
2011-07-01,96,24
2011-08-01,62,19
2011-09-01,66,25
2011-10-01,65,15
2011-11-01,67,13
2011-12-01,60,17
2012-01-01,71,28
2012-02-01,90,21
2012-03-01,81,20
2012-04-01,65,26
2012-05-01,65,24
2012-06-01,92,28
2012-07-01,89,33
2012-08-01,76,20
2012-09-01,70,18
2012-10-01,81,25
2012-11-01,59,12
2012-12-01,74,25
2013-01-01,68,23
2013-02-01,68,19
2013-03-01,69,19
2013-04-01,73,28
2013-05-01,68,23
2013-06-01,63,34
2013-07-01,85,22
2013-08-01,79,23
2013-09-01,67,25
2013-10-01,59,23
2013-11-01,53,19
2013-12-01,65,24
2014-01-01,66,30
2014-02-01,70,21
2014-03-01,73,27
2014-04-01,69,26
2014-05-01,71,20
2014-06-01,72,26
2014-07-01,100,32
2014-08-01,84,33
2014-09-01,62,25
2014-10-01,70,25
2014-11-01,72,26
2014-12-01,71,27
2015-01-01,85,32
2015-02-01,61,20
2015-03-01,67,27
2015-04-01,73,25
2015-05-01,53,20
2015-06-01,71,24
2015-07-01,89,24
2015-08-01,89,35
2015-09-01,71,30
2015-10-01,77,18
2015-11-01,70,22
2015-12-01,58,22
2016-01-01,58,18
2016-02-01,64,25
2016-03-01,59,21
2016-04-01,51,14
2016-05-01,51,17
2016-06-01,51,24
2016-07-01,64,26
2016-08-01,55,24
2016-09-01,63,26
2016-10-01,57,22
2016-11-01,60,19
2016-12-01,60,29
2017-01-01,57,23
