date,anonymous proxy,how to browse anonymously
2011-01-01,93,1
2011-02-01,94,1
2011-03-01,85,1
2011-04-01,92,0
2011-05-01,86,1
2011-06-01,80,1
2011-07-01,80,1
2011-08-01,82,1
2011-09-01,80,1
2011-10-01,78,1
2011-11-01,87,0
2011-12-01,73,1
2012-01-01,100,1
2012-02-01,91,1
2012-03-01,76,1
2012-04-01,71,1
2012-05-01,72,1
2012-06-01,71,1
2012-07-01,63,1
2012-08-01,65,1
2012-09-01,68,1
2012-10-01,66,1
2012-11-01,66,1
2012-12-01,65,1
2013-01-01,58,1
2013-02-01,62,1
2013-03-01,58,1
2013-04-01,62,1
2013-05-01,56,1
2013-06-01,56,1
2013-07-01,52,1
2013-08-01,52,1
2013-09-01,48,1
2013-10-01,50,1
2013-11-01,54,1
2013-12-01,54,1
2014-01-01,49,1
2014-02-01,52,1
2014-03-01,51,1
2014-04-01,50,1
2014-05-01,50,1
2014-06-01,51,2
2014-07-01,53,2
2014-08-01,55,2
2014-09-01,54,1
2014-10-01,50,1
2014-11-01,54,1
2014-12-01,51,1
2015-01-01,48,1
2015-02-01,48,1
2015-03-01,45,1
2015-04-01,43,1
2015-05-01,40,1
2015-06-01,39,1
2015-07-01,37,1
2015-08-01,40,2
2015-09-01,34,1
2015-10-01,35,1
2015-11-01,35,1
2015-12-01,33,1
2016-01-01,33,1
2016-02-01,32,1
2016-03-01,31,1
2016-04-01,29,1
2016-05-01,29,1
2016-06-01,27,1
2016-07-01,30,1
2016-08-01,29,1
2016-09-01,27,1
2016-10-01,25,1
2016-11-01,25,1
2016-12-01,24,1
2017-01-01,24,1
