date,anonymox for chrome android,how to browse anonymously
2011-01-01,0,45
2011-02-01,0,34
2011-03-01,0,15
2011-04-01,0,21
2011-05-01,0,27
2011-06-01,0,52
2011-07-01,0,63
2011-08-01,0,60
2011-09-01,0,69
2011-10-01,0,34
2011-11-01,0,28
2011-12-01,0,34
2012-01-01,0,63
2012-02-01,0,52
2012-03-01,0,71
2012-04-01,0,35
2012-05-01,0,39
2012-06-01,0,50
2012-07-01,0,49
2012-08-01,0,39
2012-09-01,0,63
2012-10-01,0,52
2012-11-01,0,77
2012-12-01,5,61
2013-01-01,6,48
2013-02-01,7,42
2013-03-01,8,37
2013-04-01,9,62
2013-05-01,10,78
2013-06-01,5,67
2013-07-01,5,64
2013-08-01,5,65
2013-09-01,5,72
2013-10-01,5,41
2013-11-01,7,55
2013-12-01,9,62
2014-01-01,7,60
2014-02-01,7,68
2014-03-01,4,69
2014-04-01,13,78
2014-05-01,9,49
2014-06-01,5,88
2014-07-01,12,100
2014-08-01,10,86
2014-09-01,21,46
2014-10-01,4,61
2014-11-01,11,58
2014-12-01,24,88
2015-01-01,16,62
2015-02-01,22,47
2015-03-01,12,63
2015-04-01,29,74
2015-05-01,24,50
2015-06-01,12,54
2015-07-01,24,71
2015-08-01,32,100
2015-09-01,41,91
2015-10-01,32,72
2015-11-01,30,55
2015-12-01,35,35
2016-01-01,35,50
2016-02-01,33,55
2016-03-01,31,43
2016-04-01,30,43
2016-05-01,21,48
2016-06-01,27,55
2016-07-01,25,79
2016-08-01,18,51
2016-09-01,16,56
2016-10-01,15,53
2016-11-01,12,53
2016-12-01,18,65
2017-01-01,22,59
