date,chrome incognito android,how to browse anonymously
2011-01-01,9,18
2011-02-01,5,17
2011-03-01,4,22
2011-04-01,5,12
2011-05-01,4,20
2011-06-01,13,23
2011-07-01,9,22
2011-08-01,10,33
2011-09-01,12,27
2011-10-01,10,19
2011-11-01,8,18
2011-12-01,13,25
2012-01-01,18,44
2012-02-01,26,22
2012-03-01,12,28
2012-04-01,13,34
2012-05-01,13,22
2012-06-01,25,14
2012-07-01,33,45
2012-08-01,17,29
2012-09-01,32,27
2012-10-01,28,39
2012-11-01,32,28
2012-12-01,31,39
2013-01-01,44,32
2013-02-01,39,27
2013-03-01,33,35
2013-04-01,40,45
2013-05-01,47,36
2013-06-01,58,45
2013-07-01,42,39
2013-08-01,68,45
2013-09-01,50,36
2013-10-01,46,29
2013-11-01,61,35
2013-12-01,91,40
2014-01-01,75,28
2014-02-01,72,48
2014-03-01,74,42
2014-04-01,76,39
2014-05-01,68,26
2014-06-01,62,44
2014-07-01,94,52
2014-08-01,81,54
2014-09-01,83,44
2014-10-01,81,41
2014-11-01,78,44
2014-12-01,76,46
2015-01-01,77,41
2015-02-01,60,35
2015-03-01,57,36
2015-04-01,45,40
2015-05-01,66,30
2015-06-01,55,27
2015-07-01,74,43
2015-08-01,80,58
2015-09-01,74,42
2015-10-01,59,32
2015-11-01,67,25
2015-12-01,74,26
2016-01-01,71,33
2016-02-01,61,42
2016-03-01,65,28
2016-04-01,71,29
2016-05-01,99,28
2016-06-01,90,27
2016-07-01,80,40
2016-08-01,77,28
2016-09-01,81,25
2016-10-01,58,35
2016-11-01,92,40
2016-12-01,76,34
2017-01-01,100,37
