date,proxy sites list,how to browse anonymously
2011-01-01,97,3
2011-02-01,91,3
2011-03-01,100,3
2011-04-01,75,2
2011-05-01,79,3
2011-06-01,67,5
2011-07-01,66,5
2011-08-01,64,5
2011-09-01,78,6
2011-10-01,71,3
2011-11-01,77,2
2011-12-01,70,3
2012-01-01,68,6
2012-02-01,81,3
2012-03-01,74,5
2012-04-01,77,5
2012-05-01,92,4
2012-06-01,76,4
2012-07-01,72,6
2012-08-01,75,4
2012-09-01,84,5
2012-10-01,89,5
2012-11-01,71,5
2012-12-01,68,6
2013-01-01,63,5
2013-02-01,66,4
2013-03-01,61,5
2013-04-01,57,6
2013-05-01,60,6
2013-06-01,56,7
2013-07-01,52,6
2013-08-01,55,7
2013-09-01,54,6
2013-10-01,47,4
2013-11-01,59,5
2013-12-01,55,6
2014-01-01,57,5
2014-02-01,62,7
2014-03-01,63,6
2014-04-01,50,7
2014-05-01,53,5
2014-06-01,48,7
2014-07-01,55,8
2014-08-01,66,9
2014-09-01,64,5
2014-10-01,56,6
2014-11-01,53,6
2014-12-01,60,7
2015-01-01,50,6
2015-02-01,49,5
2015-03-01,48,6
2015-04-01,52,6
2015-05-01,47,5
2015-06-01,40,5
2015-07-01,41,7
2015-08-01,62,9
2015-09-01,42,7
2015-10-01,42,6
2015-11-01,34,5
2015-12-01,37,4
2016-01-01,40,5
2016-02-01,35,6
2016-03-01,39,4
2016-04-01,38,4
2016-05-01,40,5
2016-06-01,36,4
2016-07-01,41,6
2016-08-01,42,5
2016-09-01,40,4
2016-10-01,38,5
2016-11-01,33,6
2016-12-01,31,5
2017-01-01,29,6
