date,how to browse privately,how to browse anonymously
2011-01-01,22,41
2011-02-01,20,29
2011-03-01,18,52
2011-04-01,22,39
2011-05-01,35,18
2011-06-01,30,48
2011-07-01,27,45
2011-08-01,40,55
2011-09-01,22,46
2011-10-01,35,44
2011-11-01,26,30
2011-12-01,18,46
2012-01-01,23,59
2012-02-01,15,75
2012-03-01,17,45
2012-04-01,15,65
2012-05-01,14,54
2012-06-01,23,58
2012-07-01,33,74
2012-08-01,29,57
2012-09-01,38,71
2012-10-01,30,54
2012-11-01,29,53
2012-12-01,24,56
2013-01-01,47,60
2013-02-01,30,60
2013-03-01,30,59
2013-04-01,25,67
2013-05-01,28,59
2013-06-01,28,60
2013-07-01,28,48
2013-08-01,36,42
2013-09-01,34,61
2013-10-01,37,41
2013-11-01,31,37
2013-12-01,65,59
2014-01-01,51,57
2014-02-01,49,55
2014-03-01,41,55
2014-04-01,19,72
2014-05-01,28,51
2014-06-01,31,81
2014-07-01,26,100
2014-08-01,34,68
2014-09-01,45,60
2014-10-01,51,77
2014-11-01,57,69
2014-12-01,58,87
2015-01-01,73,79
2015-02-01,30,51
2015-03-01,40,70
2015-04-01,31,73
2015-05-01,45,52
2015-06-01,49,71
2015-07-01,66,71
2015-08-01,47,93
2015-09-01,36,77
2015-10-01,44,79
2015-11-01,49,52
2015-12-01,55,45
2016-01-01,54,42
2016-02-01,52,66
2016-03-01,49,51
2016-04-01,44,42
2016-05-01,44,49
2016-06-01,45,50
2016-07-01,43,60
2016-08-01,45,45
2016-09-01,34,53
2016-10-01,41,56
2016-11-01,40,61
2016-12-01,36,53
2017-01-01,50,54
