date,private internet browsing,how to browse anonymously
2011-01-01,80,9
2011-02-01,81,6
2011-03-01,80,11
2011-04-01,96,4
2011-05-01,88,5
2011-06-01,100,11
2011-07-01,84,6
2011-08-01,76,11
2011-09-01,68,8
2011-10-01,65,11
2011-11-01,70,8
2011-12-01,71,9
2012-01-01,77,11
2012-02-01,78,16
2012-03-01,76,7
2012-04-01,70,15
2012-05-01,66,11
2012-06-01,83,10
2012-07-01,66,18
2012-08-01,91,11
2012-09-01,83,11
2012-10-01,78,12
2012-11-01,67,12
2012-12-01,77,11
2013-01-01,56,11
2013-02-01,75,14
2013-03-01,66,15
2013-04-01,69,15
2013-05-01,60,12
2013-06-01,69,9
2013-07-01,73,10
2013-08-01,71,11
2013-09-01,68,10
2013-10-01,75,8
2013-11-01,60,9
2013-12-01,66,12
2014-01-01,70,10
2014-02-01,66,13
2014-03-01,69,10
2014-04-01,53,16
2014-05-01,62,11
2014-06-01,70,16
2014-07-01,72,19
2014-08-01,54,12
2014-09-01,68,15
2014-10-01,63,18
2014-11-01,60,15
2014-12-01,57,17
2015-01-01,51,18
2015-02-01,53,11
2015-03-01,59,13
2015-04-01,52,15
2015-05-01,52,10
2015-06-01,63,14
2015-07-01,53,13
2015-08-01,64,17
2015-09-01,53,15
2015-10-01,54,16
2015-11-01,42,11
2015-12-01,53,8
2016-01-01,45,9
2016-02-01,40,13
2016-03-01,39,11
2016-04-01,39,10
2016-05-01,36,8
2016-06-01,39,8
2016-07-01,37,12
2016-08-01,39,8
2016-09-01,37,10
2016-10-01,35,12
2016-11-01,37,15
2016-12-01,31,11
2017-01-01,35,13
