date,How to browse anonymously,how to browse anonymously
2011-01-01,41,41
2011-02-01,29,29
2011-03-01,52,52
2011-04-01,39,39
2011-05-01,18,18
2011-06-01,48,48
2011-07-01,45,45
2011-08-01,55,55
2011-09-01,46,46
2011-10-01,44,44
2011-11-01,30,30
2011-12-01,46,46
2012-01-01,59,59
2012-02-01,75,75
2012-03-01,45,45
2012-04-01,65,65
2012-05-01,54,54
2012-06-01,58,58
2012-07-01,74,74
2012-08-01,57,57
2012-09-01,71,71
2012-10-01,54,54
2012-11-01,53,53
2012-12-01,56,56
2013-01-01,60,60
2013-02-01,60,60
2013-03-01,59,59
2013-04-01,67,67
2013-05-01,59,59
2013-06-01,60,60
2013-07-01,48,48
2013-08-01,42,42
2013-09-01,61,61
2013-10-01,41,41
2013-11-01,37,37
2013-12-01,59,59
2014-01-01,57,57
2014-02-01,55,55
2014-03-01,55,55
2014-04-01,72,72
2014-05-01,51,51
2014-06-01,81,81
2014-07-01,100,100
2014-08-01,68,68
2014-09-01,60,60
2014-10-01,77,77
2014-11-01,69,69
2014-12-01,87,87
2015-01-01,79,79
2015-02-01,51,51
2015-03-01,70,70
2015-04-01,73,73
2015-05-01,52,52
2015-06-01,71,71
2015-07-01,71,71
2015-08-01,93,93
2015-09-01,77,77
2015-10-01,79,79
2015-11-01,52,52
2015-12-01,45,45
2016-01-01,42,42
2016-02-01,66,66
2016-03-01,51,51
2016-04-01,42,42
2016-05-01,49,49
2016-06-01,50,50
2016-07-01,60,60
2016-08-01,45,45
2016-09-01,53,53
2016-10-01,56,56
2016-11-01,61,61
2016-12-01,53,53
2017-01-01,54,54
