date,private mode browser,how to browse anonymously
2011-01-01,10,38
2011-02-01,35,27
2011-03-01,24,48
2011-04-01,28,36
2011-05-01,34,17
2011-06-01,37,45
2011-07-01,30,42
2011-08-01,39,51
2011-09-01,54,43
2011-10-01,39,41
2011-11-01,39,28
2011-12-01,64,43
2012-01-01,45,55
2012-02-01,41,69
2012-03-01,40,42
2012-04-01,48,60
2012-05-01,43,50
2012-06-01,42,54
2012-07-01,40,69
2012-08-01,57,53
2012-09-01,32,66
2012-10-01,43,50
2012-11-01,61,50
2012-12-01,52,52
2013-01-01,56,56
2013-02-01,40,55
2013-03-01,41,55
2013-04-01,53,63
2013-05-01,38,55
2013-06-01,44,56
2013-07-01,38,44
2013-08-01,45,39
2013-09-01,48,57
2013-10-01,48,38
2013-11-01,53,35
2013-12-01,72,55
2014-01-01,62,53
2014-02-01,56,51
2014-03-01,54,51
2014-04-01,49,67
2014-05-01,46,47
2014-06-01,55,75
2014-07-01,57,93
2014-08-01,70,63
2014-09-01,70,56
2014-10-01,52,71
2014-11-01,68,64
2014-12-01,52,81
2015-01-01,57,73
2015-02-01,67,47
2015-03-01,67,65
2015-04-01,69,68
2015-05-01,83,48
2015-06-01,49,66
2015-07-01,74,66
2015-08-01,64,86
2015-09-01,57,71
2015-10-01,74,73
2015-11-01,83,48
2015-12-01,68,41
2016-01-01,76,39
2016-02-01,80,62
2016-03-01,57,47
2016-04-01,63,39
2016-05-01,72,45
2016-06-01,68,47
2016-07-01,77,56
2016-08-01,64,41
2016-09-01,70,49
2016-10-01,62,52
2016-11-01,65,57
2016-12-01,75,49
2017-01-01,100,50
