date,anonymous browsing,how to browse anonymously
2011-01-01,94,4
2011-02-01,94,3
2011-03-01,100,5
2011-04-01,88,4
2011-05-01,81,2
2011-06-01,83,5
2011-07-01,83,5
2011-08-01,86,5
2011-09-01,88,5
2011-10-01,76,4
2011-11-01,73,3
2011-12-01,67,5
2012-01-01,85,6
2012-02-01,87,7
2012-03-01,75,5
2012-04-01,78,6
2012-05-01,82,5
2012-06-01,79,6
2012-07-01,70,7
2012-08-01,84,6
2012-09-01,70,7
2012-10-01,63,5
2012-11-01,76,5
2012-12-01,68,6
2013-01-01,68,6
2013-02-01,63,6
2013-03-01,55,6
2013-04-01,60,7
2013-05-01,55,6
2013-06-01,61,6
2013-07-01,59,5
2013-08-01,65,4
2013-09-01,53,6
2013-10-01,52,4
2013-11-01,55,4
2013-12-01,51,6
2014-01-01,51,6
2014-02-01,50,6
2014-03-01,49,6
2014-04-01,46,7
2014-05-01,50,5
2014-06-01,52,8
2014-07-01,57,10
2014-08-01,52,7
2014-09-01,48,6
2014-10-01,52,8
2014-11-01,48,7
2014-12-01,49,9
2015-01-01,39,8
2015-02-01,44,5
2015-03-01,39,7
2015-04-01,43,7
2015-05-01,39,5
2015-06-01,39,7
2015-07-01,46,7
2015-08-01,38,9
2015-09-01,36,8
2015-10-01,38,8
2015-11-01,36,5
2015-12-01,39,4
2016-01-01,39,4
2016-02-01,35,7
2016-03-01,33,5
2016-04-01,33,4
2016-05-01,33,5
2016-06-01,36,5
2016-07-01,36,6
2016-08-01,35,4
2016-09-01,32,5
2016-10-01,33,6
2016-11-01,33,6
2016-12-01,31,5
2017-01-01,32,5
