date,remove youtube from iphone
2011-01-01,41
2011-02-01,16
2011-03-01,24
2011-04-01,28
2011-05-01,28
2011-06-01,30
2011-07-01,30
2011-08-01,31
2011-09-01,44
2011-10-01,56
2011-11-01,39
2011-12-01,51
2012-01-01,62
2012-02-01,75
2012-03-01,45
2012-04-01,47
2012-05-01,30
2012-06-01,38
2012-07-01,53
2012-08-01,43
2012-09-01,79
2012-10-01,73
2012-11-01,39
2012-12-01,67
2013-01-01,47
2013-02-01,65
2013-03-01,53
2013-04-01,44
2013-05-01,40
2013-06-01,47
2013-07-01,39
2013-08-01,37
2013-09-01,53
2013-10-01,49
2013-11-01,47
2013-12-01,74
2014-01-01,54
2014-02-01,52
2014-03-01,51
2014-04-01,53
2014-05-01,47
2014-06-01,39
2014-07-01,57
2014-08-01,68
2014-09-01,93
2014-10-01,85
2014-11-01,100
2014-12-01,86
2015-01-01,87
2015-02-01,69
2015-03-01,71
2015-04-01,65
2015-05-01,79
2015-06-01,70
2015-07-01,85
2015-08-01,77
2015-09-01,85
2015-10-01,66
2015-11-01,52
2015-12-01,63
2016-01-01,65
2016-02-01,44
2016-03-01,51
2016-04-01,53
2016-05-01,51
2016-06-01,54
2016-07-01,78
2016-08-01,59
2016-09-01,71
2016-10-01,69
2016-11-01,54
2016-12-01,79
2017-01-01,70
