date,how to delete youtube app
2011-01-01,28
2011-02-01,14
2011-03-01,15
2011-04-01,12
2011-05-01,21
2011-06-01,24
2011-07-01,22
2011-08-01,24
2011-09-01,27
2011-10-01,22
2011-11-01,29
2011-12-01,39
2012-01-01,28
2012-02-01,28
2012-03-01,33
2012-04-01,23
2012-05-01,22
2012-06-01,27
2012-07-01,24
2012-08-01,28
2012-09-01,96
2012-10-01,81
2012-11-01,73
2012-12-01,99
2013-01-01,70
2013-02-01,87
2013-03-01,68
2013-04-01,78
2013-05-01,66
2013-06-01,86
2013-07-01,61
2013-08-01,93
2013-09-01,78
2013-10-01,64
2013-11-01,72
2013-12-01,83
2014-01-01,85
2014-02-01,74
2014-03-01,65
2014-04-01,76
2014-05-01,70
2014-06-01,78
2014-07-01,83
2014-08-01,100
2014-09-01,86
2014-10-01,94
2014-11-01,80
2014-12-01,62
2015-01-01,85
2015-02-01,56
2015-03-01,62
2015-04-01,51
2015-05-01,58
2015-06-01,72
2015-07-01,77
2015-08-01,80
2015-09-01,64
2015-10-01,72
2015-11-01,60
2015-12-01,85
2016-01-01,76
2016-02-01,62
2016-03-01,56
2016-04-01,50
2016-05-01,55
2016-06-01,66
2016-07-01,74
2016-08-01,68
2016-09-01,64
2016-10-01,59
2016-11-01,65
2016-12-01,73
2017-01-01,71
