date,How to delete YouTube account
2011-01-01,33
2011-02-01,40
2011-03-01,38
2011-04-01,36
2011-05-01,34
2011-06-01,46
2011-07-01,60
2011-08-01,56
2011-09-01,59
2011-10-01,64
2011-11-01,70
2011-12-01,75
2012-01-01,63
2012-02-01,67
2012-03-01,61
2012-04-01,71
2012-05-01,75
2012-06-01,81
2012-07-01,84
2012-08-01,83
2012-09-01,61
2012-10-01,62
2012-11-01,71
2012-12-01,82
2013-01-01,87
2013-02-01,90
2013-03-01,84
2013-04-01,85
2013-05-01,79
2013-06-01,88
2013-07-01,90
2013-08-01,100
2013-09-01,78
2013-10-01,68
2013-11-01,69
2013-12-01,74
2014-01-01,72
2014-02-01,63
2014-03-01,70
2014-04-01,59
2014-05-01,59
2014-06-01,64
2014-07-01,80
2014-08-01,75
2014-09-01,63
2014-10-01,64
2014-11-01,60
2014-12-01,63
2015-01-01,62
2015-02-01,51
2015-03-01,53
2015-04-01,57
2015-05-01,55
2015-06-01,56
2015-07-01,59
2015-08-01,60
2015-09-01,52
2015-10-01,49
2015-11-01,44
2015-12-01,61
2016-01-01,57
2016-02-01,52
2016-03-01,49
2016-04-01,46
2016-05-01,48
2016-06-01,50
2016-07-01,62
2016-08-01,55
2016-09-01,49
2016-10-01,48
2016-11-01,50
2016-12-01,56
2017-01-01,55
