date,how to delete youtube channel
2011-01-01,9
2011-02-01,8
2011-03-01,8
2011-04-01,9
2011-05-01,9
2011-06-01,15
2011-07-01,10
2011-08-01,14
2011-09-01,15
2011-10-01,18
2011-11-01,22
2011-12-01,22
2012-01-01,21
2012-02-01,20
2012-03-01,22
2012-04-01,25
2012-05-01,26
2012-06-01,27
2012-07-01,31
2012-08-01,28
2012-09-01,24
2012-10-01,20
2012-11-01,25
2012-12-01,26
2013-01-01,24
2013-02-01,27
2013-03-01,28
2013-04-01,29
2013-05-01,40
2013-06-01,39
2013-07-01,52
2013-08-01,70
2013-09-01,66
2013-10-01,52
2013-11-01,49
2013-12-01,51
2014-01-01,63
2014-02-01,54
2014-03-01,71
2014-04-01,60
2014-05-01,57
2014-06-01,56
2014-07-01,88
2014-08-01,81
2014-09-01,59
2014-10-01,58
2014-11-01,59
2014-12-01,55
2015-01-01,66
2015-02-01,60
2015-03-01,60
2015-04-01,60
2015-05-01,52
2015-06-01,64
2015-07-01,76
2015-08-01,76
2015-09-01,64
2015-10-01,64
2015-11-01,57
2015-12-01,75
2016-01-01,87
2016-02-01,66
2016-03-01,61
2016-04-01,58
2016-05-01,64
2016-06-01,74
2016-07-01,75
2016-08-01,73
2016-09-01,70
2016-10-01,72
2016-11-01,65
2016-12-01,86
2017-01-01,100
