date,how to delete youtube account on phone
2011-01-01,0
2011-02-01,0
2011-03-01,33
2011-04-01,18
2011-05-01,17
2011-06-01,17
2011-07-01,33
2011-08-01,32
2011-09-01,16
2011-10-01,37
2011-11-01,45
2011-12-01,15
2012-01-01,13
2012-02-01,28
2012-03-01,26
2012-04-01,14
2012-05-01,51
2012-06-01,13
2012-07-01,39
2012-08-01,13
2012-09-01,19
2012-10-01,24
2012-11-01,24
2012-12-01,18
2013-01-01,21
2013-02-01,53
2013-03-01,37
2013-04-01,21
2013-05-01,47
2013-06-01,59
2013-07-01,47
2013-08-01,52
2013-09-01,62
2013-10-01,39
2013-11-01,15
2013-12-01,20
2014-01-01,18
2014-02-01,30
2014-03-01,18
2014-04-01,24
2014-05-01,24
2014-06-01,21
2014-07-01,31
2014-08-01,62
2014-09-01,49
2014-10-01,37
2014-11-01,38
2014-12-01,28
2015-01-01,18
2015-02-01,14
2015-03-01,43
2015-04-01,27
2015-05-01,22
2015-06-01,31
2015-07-01,61
2015-08-01,56
2015-09-01,51
2015-10-01,36
2015-11-01,45
2015-12-01,29
2016-01-01,66
2016-02-01,59
2016-03-01,40
2016-04-01,42
2016-05-01,59
2016-06-01,68
2016-07-01,92
2016-08-01,71
2016-09-01,45
2016-10-01,91
2016-11-01,75
2016-12-01,93
2017-01-01,100
