date,Cancel youtube account
2011-01-01,56
2011-02-01,56
2011-03-01,31
2011-04-01,72
2011-05-01,37
2011-06-01,69
2011-07-01,63
2011-08-01,92
2011-09-01,77
2011-10-01,70
2011-11-01,85
2011-12-01,71
2012-01-01,68
2012-02-01,71
2012-03-01,67
2012-04-01,84
2012-05-01,67
2012-06-01,60
2012-07-01,94
2012-08-01,82
2012-09-01,72
2012-10-01,52
2012-11-01,78
2012-12-01,100
2013-01-01,67
2013-02-01,54
2013-03-01,83
2013-04-01,69
2013-05-01,70
2013-06-01,58
2013-07-01,64
2013-08-01,53
2013-09-01,40
2013-10-01,63
2013-11-01,40
2013-12-01,49
2014-01-01,53
2014-02-01,62
2014-03-01,51
2014-04-01,43
2014-05-01,48
2014-06-01,59
2014-07-01,47
2014-08-01,44
2014-09-01,43
2014-10-01,49
2014-11-01,39
2014-12-01,35
2015-01-01,47
2015-02-01,44
2015-03-01,46
2015-04-01,38
2015-05-01,45
2015-06-01,39
2015-07-01,28
2015-08-01,36
2015-09-01,37
2015-10-01,44
2015-11-01,25
2015-12-01,51
2016-01-01,41
2016-02-01,44
2016-03-01,67
2016-04-01,54
2016-05-01,40
2016-06-01,41
2016-07-01,51
2016-08-01,46
2016-09-01,47
2016-10-01,40
2016-11-01,48
2016-12-01,48
2017-01-01,51
