date,how to delete a youtube account
2011-01-01,36
2011-02-01,35
2011-03-01,36
2011-04-01,34
2011-05-01,40
2011-06-01,50
2011-07-01,61
2011-08-01,60
2011-09-01,57
2011-10-01,56
2011-11-01,64
2011-12-01,69
2012-01-01,67
2012-02-01,56
2012-03-01,52
2012-04-01,75
2012-05-01,64
2012-06-01,82
2012-07-01,84
2012-08-01,94
2012-09-01,65
2012-10-01,58
2012-11-01,67
2012-12-01,75
2013-01-01,78
2013-02-01,79
2013-03-01,74
2013-04-01,70
2013-05-01,75
2013-06-01,78
2013-07-01,94
2013-08-01,100
2013-09-01,75
2013-10-01,58
2013-11-01,61
2013-12-01,72
2014-01-01,71
2014-02-01,62
2014-03-01,67
2014-04-01,64
2014-05-01,58
2014-06-01,62
2014-07-01,75
2014-08-01,76
2014-09-01,55
2014-10-01,54
2014-11-01,53
2014-12-01,53
2015-01-01,62
2015-02-01,47
2015-03-01,58
2015-04-01,52
2015-05-01,59
2015-06-01,58
2015-07-01,52
2015-08-01,58
2015-09-01,46
2015-10-01,41
2015-11-01,41
2015-12-01,49
2016-01-01,48
2016-02-01,48
2016-03-01,47
2016-04-01,41
2016-05-01,45
2016-06-01,48
2016-07-01,54
2016-08-01,47
2016-09-01,42
2016-10-01,40
2016-11-01,38
2016-12-01,47
2017-01-01,48
