date,how to delete instagram from phone
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,19
2012-04-01,35
2012-05-01,18
2012-06-01,19
2012-07-01,47
2012-08-01,12
2012-09-01,18
2012-10-01,23
2012-11-01,28
2012-12-01,48
2013-01-01,41
2013-02-01,54
2013-03-01,30
2013-04-01,26
2013-05-01,40
2013-06-01,46
2013-07-01,38
2013-08-01,60
2013-09-01,47
2013-10-01,40
2013-11-01,50
2013-12-01,48
2014-01-01,47
2014-02-01,34
2014-03-01,63
2014-04-01,41
2014-05-01,41
2014-06-01,40
2014-07-01,32
2014-08-01,89
2014-09-01,78
2014-10-01,52
2014-11-01,46
2014-12-01,41
2015-01-01,51
2015-02-01,50
2015-03-01,61
2015-04-01,62
2015-05-01,54
2015-06-01,81
2015-07-01,75
2015-08-01,76
2015-09-01,57
2015-10-01,59
2015-11-01,63
2015-12-01,90
2016-01-01,60
2016-02-01,62
2016-03-01,49
2016-04-01,68
2016-05-01,83
2016-06-01,68
2016-07-01,95
2016-08-01,79
2016-09-01,64
2016-10-01,83
2016-11-01,72
2016-12-01,73
2017-01-01,100
