date,Get rid of Instagram
2011-01-01,0
2011-02-01,1
2011-03-01,0
2011-04-01,1
2011-05-01,1
2011-06-01,1
2011-07-01,1
2011-08-01,1
2011-09-01,1
2011-10-01,1
2011-11-01,2
2011-12-01,2
2012-01-01,2
2012-02-01,3
2012-03-01,5
2012-04-01,13
2012-05-01,16
2012-06-01,19
2012-07-01,20
2012-08-01,23
2012-09-01,19
2012-10-01,24
2012-11-01,26
2012-12-01,34
2013-01-01,30
2013-02-01,34
2013-03-01,40
2013-04-01,40
2013-05-01,50
2013-06-01,55
2013-07-01,65
2013-08-01,54
2013-09-01,46
2013-10-01,39
2013-11-01,42
2013-12-01,47
2014-01-01,50
2014-02-01,41
2014-03-01,50
2014-04-01,54
2014-05-01,54
2014-06-01,59
2014-07-01,63
2014-08-01,59
2014-09-01,56
2014-10-01,59
2014-11-01,52
2014-12-01,65
2015-01-01,55
2015-02-01,54
2015-03-01,52
2015-04-01,55
2015-05-01,53
2015-06-01,60
2015-07-01,63
2015-08-01,65
2015-09-01,55
2015-10-01,55
2015-11-01,57
2015-12-01,67
2016-01-01,70
2016-02-01,63
2016-03-01,71
2016-04-01,73
2016-05-01,73
2016-06-01,71
2016-07-01,74
2016-08-01,80
2016-09-01,66
2016-10-01,74
2016-11-01,100
2016-12-01,97
2017-01-01,90
