date,How to uninstall gmail,how to delete gmail
2011-01-01,2,43
2011-02-01,1,43
2011-03-01,1,41
2011-04-01,2,47
2011-05-01,1,44
2011-06-01,2,51
2011-07-01,1,59
2011-08-01,2,55
2011-09-01,1,57
2011-10-01,2,55
2011-11-01,2,56
2011-12-01,2,60
2012-01-01,1,60
2012-02-01,2,53
2012-03-01,2,50
2012-04-01,1,52
2012-05-01,1,51
2012-06-01,2,56
2012-07-01,1,61
2012-08-01,2,65
2012-09-01,2,63
2012-10-01,2,56
2012-11-01,2,58
2012-12-01,2,68
2013-01-01,2,68
2013-02-01,2,68
2013-03-01,2,68
2013-04-01,2,70
2013-05-01,2,71
2013-06-01,2,76
2013-07-01,2,79
2013-08-01,3,80
2013-09-01,3,80
2013-10-01,2,78
2013-11-01,3,76
2013-12-01,2,90
2014-01-01,3,96
2014-02-01,2,89
2014-03-01,3,90
2014-04-01,2,89
2014-05-01,2,86
2014-06-01,2,88
2014-07-01,2,91
2014-08-01,3,100
2014-09-01,3,95
2014-10-01,3,90
2014-11-01,3,89
2014-12-01,3,84
2015-01-01,2,86
2015-02-01,2,81
2015-03-01,2,83
2015-04-01,2,84
2015-05-01,2,83
2015-06-01,2,86
2015-07-01,2,91
2015-08-01,3,95
2015-09-01,3,88
2015-10-01,2,84
2015-11-01,2,79
2015-12-01,2,85
2016-01-01,2,93
2016-02-01,2,86
2016-03-01,2,86
2016-04-01,2,82
2016-05-01,2,85
2016-06-01,2,91
2016-07-01,2,98
2016-08-01,2,94
2016-09-01,2,93
2016-10-01,2,89
2016-11-01,2,91
2016-12-01,2,97
2017-01-01,2,96
