date,How to delete gmail account,how to delete gmail
2011-01-01,26,43
2011-02-01,27,43
2011-03-01,26,42
2011-04-01,29,47
2011-05-01,29,45
2011-06-01,33,52
2011-07-01,39,60
2011-08-01,36,56
2011-09-01,37,58
2011-10-01,34,56
2011-11-01,36,58
2011-12-01,37,62
2012-01-01,38,62
2012-02-01,29,52
2012-03-01,26,51
2012-04-01,28,53
2012-05-01,29,52
2012-06-01,30,57
2012-07-01,35,63
2012-08-01,38,66
2012-09-01,33,62
2012-10-01,29,58
2012-11-01,31,60
2012-12-01,36,68
2013-01-01,36,67
2013-02-01,35,69
2013-03-01,35,71
2013-04-01,36,71
2013-05-01,39,72
2013-06-01,40,80
2013-07-01,43,79
2013-08-01,46,83
2013-09-01,40,81
2013-10-01,40,78
2013-11-01,40,78
2013-12-01,51,92
2014-01-01,53,97
2014-02-01,51,92
2014-03-01,48,93
2014-04-01,49,91
2014-05-01,49,88
2014-06-01,49,91
2014-07-01,52,94
2014-08-01,54,100
2014-09-01,54,97
2014-10-01,49,91
2014-11-01,48,94
2014-12-01,45,87
2015-01-01,45,89
2015-02-01,42,81
2015-03-01,41,83
2015-04-01,42,84
2015-05-01,43,85
2015-06-01,45,89
2015-07-01,46,90
2015-08-01,48,98
2015-09-01,47,92
2015-10-01,42,86
2015-11-01,40,82
2015-12-01,44,87
2016-01-01,47,92
2016-02-01,42,87
2016-03-01,44,85
2016-04-01,42,84
2016-05-01,43,86
2016-06-01,46,92
2016-07-01,53,98
2016-08-01,50,98
2016-09-01,47,95
2016-10-01,46,92
2016-11-01,45,92
2016-12-01,51,99
2017-01-01,50,99
