date,gmail uninstall,how to delete gmail
2011-01-01,4,43
2011-02-01,4,43
2011-03-01,4,42
2011-04-01,4,47
2011-05-01,4,45
2011-06-01,4,52
2011-07-01,4,60
2011-08-01,5,56
2011-09-01,4,58
2011-10-01,4,56
2011-11-01,4,58
2011-12-01,4,62
2012-01-01,4,62
2012-02-01,4,52
2012-03-01,4,51
2012-04-01,4,53
2012-05-01,3,52
2012-06-01,4,57
2012-07-01,4,63
2012-08-01,5,66
2012-09-01,4,62
2012-10-01,5,58
2012-11-01,4,60
2012-12-01,5,68
2013-01-01,4,67
2013-02-01,4,69
2013-03-01,4,71
2013-04-01,5,71
2013-05-01,5,72
2013-06-01,5,80
2013-07-01,5,79
2013-08-01,6,83
2013-09-01,5,81
2013-10-01,6,78
2013-11-01,6,78
2013-12-01,6,92
2014-01-01,7,97
2014-02-01,5,92
2014-03-01,7,93
2014-04-01,6,91
2014-05-01,5,88
2014-06-01,5,91
2014-07-01,5,94
2014-08-01,6,100
2014-09-01,7,97
2014-10-01,6,91
2014-11-01,7,94
2014-12-01,6,87
2015-01-01,5,89
2015-02-01,6,81
2015-03-01,6,83
2015-04-01,6,84
2015-05-01,5,85
2015-06-01,6,89
2015-07-01,5,90
2015-08-01,6,98
2015-09-01,5,92
2015-10-01,5,86
2015-11-01,5,82
2015-12-01,6,87
2016-01-01,6,92
2016-02-01,5,87
2016-03-01,5,85
2016-04-01,5,84
2016-05-01,4,86
2016-06-01,5,92
2016-07-01,5,98
2016-08-01,5,98
2016-09-01,5,95
2016-10-01,5,92
2016-11-01,5,92
2016-12-01,5,99
2017-01-01,5,99
