date,decrypt text
2011-01-01,73
2011-02-01,78
2011-03-01,88
2011-04-01,85
2011-05-01,77
2011-06-01,81
2011-07-01,82
2011-08-01,75
2011-09-01,73
2011-10-01,69
2011-11-01,83
2011-12-01,68
2012-01-01,65
2012-02-01,66
2012-03-01,59
2012-04-01,81
2012-05-01,74
2012-06-01,73
2012-07-01,92
2012-08-01,57
2012-09-01,91
2012-10-01,63
2012-11-01,62
2012-12-01,76
2013-01-01,58
2013-02-01,91
2013-03-01,64
2013-04-01,88
2013-05-01,55
2013-06-01,69
2013-07-01,73
2013-08-01,82
2013-09-01,82
2013-10-01,78
2013-11-01,68
2013-12-01,70
2014-01-01,74
2014-02-01,71
2014-03-01,89
2014-04-01,85
2014-05-01,95
2014-06-01,85
2014-07-01,85
2014-08-01,82
2014-09-01,93
2014-10-01,85
2014-11-01,94
2014-12-01,72
2015-01-01,59
2015-02-01,74
2015-03-01,87
2015-04-01,91
2015-05-01,93
2015-06-01,75
2015-07-01,77
2015-08-01,78
2015-09-01,88
2015-10-01,87
2015-11-01,73
2015-12-01,82
2016-01-01,76
2016-02-01,98
2016-03-01,97
2016-04-01,94
2016-05-01,80
2016-06-01,83
2016-07-01,82
2016-08-01,80
2016-09-01,92
2016-10-01,93
2016-11-01,100
2016-12-01,93
2017-01-01,86
