date,aes encryption algorithm
2011-01-01,45
2011-02-01,60
2011-03-01,74
2011-04-01,51
2011-05-01,38
2011-06-01,42
2011-07-01,57
2011-08-01,52
2011-09-01,29
2011-10-01,64
2011-11-01,60
2011-12-01,51
2012-01-01,56
2012-02-01,75
2012-03-01,65
2012-04-01,76
2012-05-01,69
2012-06-01,57
2012-07-01,85
2012-08-01,73
2012-09-01,62
2012-10-01,68
2012-11-01,54
2012-12-01,55
2013-01-01,77
2013-02-01,57
2013-03-01,83
2013-04-01,79
2013-05-01,43
2013-06-01,68
2013-07-01,62
2013-08-01,57
2013-09-01,64
2013-10-01,83
2013-11-01,76
2013-12-01,88
2014-01-01,66
2014-02-01,81
2014-03-01,78
2014-04-01,99
2014-05-01,67
2014-06-01,61
2014-07-01,52
2014-08-01,59
2014-09-01,80
2014-10-01,64
2014-11-01,84
2014-12-01,63
2015-01-01,82
2015-02-01,91
2015-03-01,90
2015-04-01,66
2015-05-01,66
2015-06-01,57
2015-07-01,74
2015-08-01,50
2015-09-01,63
2015-10-01,80
2015-11-01,64
2015-12-01,68
2016-01-01,47
2016-02-01,85
2016-03-01,97
2016-04-01,100
2016-05-01,67
2016-06-01,50
2016-07-01,60
2016-08-01,62
2016-09-01,64
2016-10-01,76
2016-11-01,59
2016-12-01,76
2017-01-01,80
