date,aes cbc decryption
2011-01-01,0
2011-02-01,41
2011-03-01,37
2011-04-01,40
2011-05-01,37
2011-06-01,38
2011-07-01,45
2011-08-01,52
2011-09-01,59
2011-10-01,66
2011-11-01,67
2011-12-01,30
2012-01-01,30
2012-02-01,31
2012-03-01,29
2012-04-01,29
2012-05-01,29
2012-06-01,59
2012-07-01,29
2012-08-01,29
2012-09-01,29
2012-10-01,27
2012-11-01,40
2012-12-01,52
2013-01-01,49
2013-02-01,40
2013-03-01,24
2013-04-01,72
2013-05-01,48
2013-06-01,48
2013-07-01,35
2013-08-01,35
2013-09-01,23
2013-10-01,22
2013-11-01,45
2013-12-01,33
2014-01-01,31
2014-02-01,45
2014-03-01,20
2014-04-01,63
2014-05-01,21
2014-06-01,24
2014-07-01,34
2014-08-01,46
2014-09-01,55
2014-10-01,42
2014-11-01,22
2014-12-01,21
2015-01-01,20
2015-02-01,43
2015-03-01,29
2015-04-01,20
2015-05-01,48
2015-06-01,40
2015-07-01,58
2015-08-01,19
2015-09-01,38
2015-10-01,27
2015-11-01,18
2015-12-01,19
2016-01-01,44
2016-02-01,53
2016-03-01,33
2016-04-01,17
2016-05-01,25
2016-06-01,34
2016-07-01,43
2016-08-01,59
2016-09-01,100
2016-10-01,32
2016-11-01,56
2016-12-01,48
2017-01-01,45
