date,How to uninstall Gmail
2011-01-01,36
2011-02-01,41
2011-03-01,40
2011-04-01,37
2011-05-01,30
2011-06-01,69
2011-07-01,30
2011-08-01,55
2011-09-01,41
2011-10-01,62
2011-11-01,69
2011-12-01,55
2012-01-01,49
2012-02-01,41
2012-03-01,64
2012-04-01,35
2012-05-01,43
2012-06-01,55
2012-07-01,44
2012-08-01,64
2012-09-01,56
2012-10-01,59
2012-11-01,50
2012-12-01,65
2013-01-01,57
2013-02-01,46
2013-03-01,63
2013-04-01,52
2013-05-01,58
2013-06-01,80
2013-07-01,72
2013-08-01,92
2013-09-01,72
2013-10-01,70
2013-11-01,71
2013-12-01,88
2014-01-01,85
2014-02-01,86
2014-03-01,79
2014-04-01,74
2014-05-01,73
2014-06-01,69
2014-07-01,70
2014-08-01,73
2014-09-01,100
2014-10-01,80
2014-11-01,78
2014-12-01,77
2015-01-01,79
2015-02-01,65
2015-03-01,67
2015-04-01,80
2015-05-01,74
2015-06-01,75
2015-07-01,95
2015-08-01,82
2015-09-01,89
2015-10-01,72
2015-11-01,74
2015-12-01,81
2016-01-01,87
2016-02-01,77
2016-03-01,64
2016-04-01,62
2016-05-01,76
2016-06-01,73
2016-07-01,76
2016-08-01,74
2016-09-01,78
2016-10-01,64
2016-11-01,81
2016-12-01,72
2017-01-01,75
