date,delete google account
2011-01-01,33
2011-02-01,30
2011-03-01,33
2011-04-01,33
2011-05-01,33
2011-06-01,39
2011-07-01,58
2011-08-01,47
2011-09-01,57
2011-10-01,51
2011-11-01,51
2011-12-01,54
2012-01-01,54
2012-02-01,50
2012-03-01,45
2012-04-01,42
2012-05-01,42
2012-06-01,43
2012-07-01,49
2012-08-01,49
2012-09-01,47
2012-10-01,46
2012-11-01,47
2012-12-01,54
2013-01-01,56
2013-02-01,53
2013-03-01,55
2013-04-01,55
2013-05-01,58
2013-06-01,62
2013-07-01,63
2013-08-01,71
2013-09-01,63
2013-10-01,65
2013-11-01,69
2013-12-01,76
2014-01-01,80
2014-02-01,76
2014-03-01,77
2014-04-01,74
2014-05-01,71
2014-06-01,73
2014-07-01,81
2014-08-01,83
2014-09-01,77
2014-10-01,77
2014-11-01,71
2014-12-01,76
2015-01-01,74
2015-02-01,70
2015-03-01,71
2015-04-01,69
2015-05-01,69
2015-06-01,72
2015-07-01,78
2015-08-01,82
2015-09-01,75
2015-10-01,71
2015-11-01,69
2015-12-01,74
2016-01-01,79
2016-02-01,74
2016-03-01,73
2016-04-01,72
2016-05-01,72
2016-06-01,78
2016-07-01,100
2016-08-01,93
2016-09-01,83
2016-10-01,82
2016-11-01,81
2016-12-01,91
2017-01-01,91
