date,how to delete gmail account from phone
2011-01-01,12
2011-02-01,8
2011-03-01,6
2011-04-01,5
2011-05-01,11
2011-06-01,10
2011-07-01,13
2011-08-01,10
2011-09-01,7
2011-10-01,18
2011-11-01,10
2011-12-01,14
2012-01-01,18
2012-02-01,20
2012-03-01,20
2012-04-01,28
2012-05-01,26
2012-06-01,19
2012-07-01,38
2012-08-01,36
2012-09-01,28
2012-10-01,23
2012-11-01,19
2012-12-01,22
2013-01-01,37
2013-02-01,24
2013-03-01,24
2013-04-01,37
2013-05-01,39
2013-06-01,42
2013-07-01,53
2013-08-01,55
2013-09-01,50
2013-10-01,37
2013-11-01,53
2013-12-01,57
2014-01-01,54
2014-02-01,55
2014-03-01,42
2014-04-01,47
2014-05-01,41
2014-06-01,45
2014-07-01,48
2014-08-01,52
2014-09-01,53
2014-10-01,53
2014-11-01,50
2014-12-01,46
2015-01-01,48
2015-02-01,48
2015-03-01,49
2015-04-01,42
2015-05-01,60
2015-06-01,63
2015-07-01,65
2015-08-01,59
2015-09-01,65
2015-10-01,73
2015-11-01,58
2015-12-01,57
2016-01-01,67
2016-02-01,87
2016-03-01,88
2016-04-01,74
2016-05-01,76
2016-06-01,81
2016-07-01,88
2016-08-01,88
2016-09-01,88
2016-10-01,69
2016-11-01,80
2016-12-01,99
2017-01-01,100
