date,Private search engines,search without history,Total
1/1/11,60,43,103
2/1/11,63,26,89
3/1/11,51,33,84
4/1/11,44,21,65
5/1/11,57,43,100
6/1/11,55,24,79
7/1/11,66,50,116
8/1/11,57,23,80
9/1/11,53,46,99
10/1/11,63,17,80
11/1/11,49,25,74
12/1/11,50,38,88
1/1/12,68,46,114
2/1/12,57,61,118
3/1/12,62,34,96
4/1/12,44,39,83
5/1/12,47,46,93
6/1/12,50,57,107
7/1/12,54,67,121
8/1/12,51,52,103
9/1/12,72,53,125
10/1/12,44,54,98
11/1/12,32,45,77
12/1/12,41,53,94
1/1/13,24,51,75
2/1/13,60,50,110
3/1/13,49,56,105
4/1/13,52,62,114
5/1/13,42,44,86
6/1/13,76,67,143
7/1/13,66,76,142
8/1/13,49,79,128
9/1/13,62,67,129
10/1/13,54,57,111
11/1/13,43,66,109
12/1/13,56,69,125
1/1/14,53,67,120
2/1/14,56,58,114
3/1/14,55,53,108
4/1/14,49,50,99
5/1/14,39,52,91
6/1/14,62,58,120
7/1/14,64,82,146
8/1/14,52,68,120
9/1/14,53,62,115
10/1/14,71,82,153
11/1/14,54,66,120
12/1/14,47,66,113
1/1/15,44,79,123
2/1/15,36,75,111
3/1/15,48,66,114
4/1/15,39,70,109
5/1/15,42,63,105
6/1/15,41,86,127
7/1/15,45,83,128
8/1/15,39,63,102
9/1/15,48,82,130
10/1/15,40,80,120
11/1/15,49,81,130
12/1/15,52,100,152
1/1/16,37,73,110
2/1/16,36,81,117
3/1/16,44,87,131
4/1/16,35,77,112
5/1/16,30,71,101
6/1/16,30,83,113
7/1/16,37,75,112
8/1/16,41,92,133
9/1/16,41,74,115
10/1/16,39,78,117
11/1/16,42,74,116
12/1/16,36,86,122
1/1/17,47,92,139
