date,easy hide ip
2011-01-01,75
2011-02-01,71
2011-03-01,71
2011-04-01,79
2011-05-01,75
2011-06-01,84
2011-07-01,77
2011-08-01,78
2011-09-01,71
2011-10-01,62
2011-11-01,64
2011-12-01,69
2012-01-01,63
2012-02-01,69
2012-03-01,66
2012-04-01,78
2012-05-01,66
2012-06-01,74
2012-07-01,69
2012-08-01,71
2012-09-01,66
2012-10-01,65
2012-11-01,56
2012-12-01,100
2013-01-01,69
2013-02-01,64
2013-03-01,58
2013-04-01,51
2013-05-01,47
2013-06-01,39
2013-07-01,47
2013-08-01,43
2013-09-01,42
2013-10-01,38
2013-11-01,37
2013-12-01,35
2014-01-01,37
2014-02-01,36
2014-03-01,33
2014-04-01,31
2014-05-01,28
2014-06-01,29
2014-07-01,27
2014-08-01,24
2014-09-01,27
2014-10-01,23
2014-11-01,23
2014-12-01,22
2015-01-01,21
2015-02-01,22
2015-03-01,21
2015-04-01,20
2015-05-01,17
2015-06-01,15
2015-07-01,16
2015-08-01,15
2015-09-01,15
2015-10-01,16
2015-11-01,14
2015-12-01,15
2016-01-01,15
2016-02-01,14
2016-03-01,13
2016-04-01,12
2016-05-01,14
2016-06-01,11
2016-07-01,11
2016-08-01,13
2016-09-01,11
2016-10-01,9
2016-11-01,9
2016-12-01,7
2017-01-01,10
