date,does google track your searches
2011-01-01,99
2011-02-01,58
2011-03-01,46
2011-04-01,55
2011-05-01,94
2011-06-01,64
2011-07-01,63
2011-08-01,100
2011-09-01,68
2011-10-01,42
2011-11-01,28
2011-12-01,46
2012-01-01,63
2012-02-01,70
2012-03-01,99
2012-04-01,26
2012-05-01,36
2012-06-01,50
2012-07-01,57
2012-08-01,49
2012-09-01,81
2012-10-01,66
2012-11-01,96
2012-12-01,78
2013-01-01,40
2013-02-01,44
2013-03-01,46
2013-04-01,60
2013-05-01,20
2013-06-01,40
2013-07-01,46
2013-08-01,46
2013-09-01,26
2013-10-01,55
2013-11-01,37
2013-12-01,31
2014-01-01,52
2014-02-01,44
2014-03-01,40
2014-04-01,29
2014-05-01,36
2014-06-01,69
2014-07-01,19
2014-08-01,58
2014-09-01,37
2014-10-01,41
2014-11-01,24
2014-12-01,30
2015-01-01,41
2015-02-01,24
2015-03-01,25
2015-04-01,25
2015-05-01,33
2015-06-01,22
2015-07-01,16
2015-08-01,22
2015-09-01,32
2015-10-01,25
2015-11-01,31
2015-12-01,47
2016-01-01,25
2016-02-01,44
2016-03-01,18
2016-04-01,29
2016-05-01,37
2016-06-01,43
2016-07-01,38
2016-08-01,28
2016-09-01,28
2016-10-01,40
2016-11-01,31
2016-12-01,49
2017-01-01,32
