date,browse anonymously,how to browse anonymously
2011-01-01,67,15
2011-02-01,45,12
2011-03-01,48,8
2011-04-01,59,12
2011-05-01,55,8
2011-06-01,51,20
2011-07-01,100,17
2011-08-01,63,20
2011-09-01,65,19
2011-10-01,55,17
2011-11-01,71,14
2011-12-01,53,13
2012-01-01,61,20
2012-02-01,83,22
2012-03-01,70,20
2012-04-01,62,14
2012-05-01,60,18
2012-06-01,72,19
2012-07-01,69,24
2012-08-01,65,17
2012-09-01,60,24
2012-10-01,68,18
2012-11-01,51,26
2012-12-01,62,20
2013-01-01,56,23
2013-02-01,65,20
2013-03-01,54,18
2013-04-01,59,19
2013-05-01,64,23
2013-06-01,70,21
2013-07-01,63,14
2013-08-01,64,22
2013-09-01,47,18
2013-10-01,46,18
2013-11-01,44,11
2013-12-01,59,24
2014-01-01,58,23
2014-02-01,57,27
2014-03-01,58,21
2014-04-01,58,30
2014-05-01,57,18
2014-06-01,60,27
2014-07-01,85,36
2014-08-01,81,21
2014-09-01,53,20
2014-10-01,60,26
2014-11-01,65,21
2014-12-01,50,25
2015-01-01,73,26
2015-02-01,60,21
2015-03-01,62,21
2015-04-01,63,29
2015-05-01,53,18
2015-06-01,63,13
2015-07-01,69,23
2015-08-01,85,35
2015-09-01,65,27
2015-10-01,61,25
2015-11-01,56,20
2015-12-01,45,17
2016-01-01,51,16
2016-02-01,49,24
2016-03-01,58,21
2016-04-01,43,13
2016-05-01,35,12
2016-06-01,44,18
2016-07-01,56,24
2016-08-01,41,16
2016-09-01,54,17
2016-10-01,46,16
2016-11-01,45,19
2016-12-01,47,23
2017-01-01,56,19
