date,How to browse anonymously,how to browse anonymously
2011-01-01,40,40
2011-02-01,27,27
2011-03-01,35,35
2011-04-01,26,26
2011-05-01,24,24
2011-06-01,53,53
2011-07-01,55,55
2011-08-01,52,52
2011-09-01,48,48
2011-10-01,50,50
2011-11-01,29,29
2011-12-01,38,38
2012-01-01,55,55
2012-02-01,70,70
2012-03-01,56,56
2012-04-01,67,67
2012-05-01,57,57
2012-06-01,56,56
2012-07-01,77,77
2012-08-01,64,64
2012-09-01,65,65
2012-10-01,55,55
2012-11-01,61,61
2012-12-01,54,54
2013-01-01,68,68
2013-02-01,54,54
2013-03-01,69,69
2013-04-01,64,64
2013-05-01,68,68
2013-06-01,61,61
2013-07-01,46,46
2013-08-01,70,70
2013-09-01,65,65
2013-10-01,49,49
2013-11-01,42,42
2013-12-01,69,69
2014-01-01,66,66
2014-02-01,79,79
2014-03-01,62,62
2014-04-01,84,84
2014-05-01,55,55
2014-06-01,80,80
2014-07-01,100,100
2014-08-01,67,67
2014-09-01,61,61
2014-10-01,77,77
2014-11-01,59,59
2014-12-01,67,67
2015-01-01,77,77
2015-02-01,57,57
2015-03-01,63,63
2015-04-01,77,77
2015-05-01,59,59
2015-06-01,39,39
2015-07-01,64,64
2015-08-01,99,99
2015-09-01,74,74
2015-10-01,72,72
2015-11-01,53,53
2015-12-01,49,49
2016-01-01,52,52
2016-02-01,69,69
2016-03-01,69,69
2016-04-01,40,40
2016-05-01,33,33
2016-06-01,52,52
2016-07-01,66,66
2016-08-01,50,50
2016-09-01,49,49
2016-10-01,52,52
2016-11-01,63,63
2016-12-01,71,71
2017-01-01,61,61
