date,anon browsing,how to browse anonymously
2011-01-01,17,40
2011-02-01,18,27
2011-03-01,22,35
2011-04-01,9,26
2011-05-01,14,24
2011-06-01,19,53
2011-07-01,11,55
2011-08-01,12,52
2011-09-01,0,48
2011-10-01,14,50
2011-11-01,7,29
2011-12-01,0,38
2012-01-01,13,55
2012-02-01,7,70
2012-03-01,11,56
2012-04-01,13,67
2012-05-01,6,57
2012-06-01,15,56
2012-07-01,6,77
2012-08-01,6,64
2012-09-01,9,65
2012-10-01,14,55
2012-11-01,9,61
2012-12-01,15,54
2013-01-01,8,68
2013-02-01,13,54
2013-03-01,12,69
2013-04-01,0,64
2013-05-01,8,68
2013-06-01,23,61
2013-07-01,70,46
2013-08-01,41,70
2013-09-01,18,65
2013-10-01,11,49
2013-11-01,10,42
2013-12-01,6,69
2014-01-01,9,66
2014-02-01,12,79
2014-03-01,12,62
2014-04-01,17,84
2014-05-01,11,55
2014-06-01,15,80
2014-07-01,10,100
2014-08-01,5,67
2014-09-01,13,61
2014-10-01,5,77
2014-11-01,9,59
2014-12-01,6,67
2015-01-01,6,77
2015-02-01,8,57
2015-03-01,6,63
2015-04-01,4,77
2015-05-01,4,59
2015-06-01,6,39
2015-07-01,9,64
2015-08-01,10,99
2015-09-01,4,74
2015-10-01,4,72
2015-11-01,4,53
2015-12-01,14,49
2016-01-01,8,52
2016-02-01,6,69
2016-03-01,7,69
2016-04-01,9,40
2016-05-01,0,33
2016-06-01,4,52
2016-07-01,4,66
2016-08-01,5,50
2016-09-01,5,49
2016-10-01,5,52
2016-11-01,7,63
2016-12-01,6,71
2017-01-01,4,61
