date,private mode browser,how to browse anonymously
2011-01-01,39,31
2011-02-01,28,44
2011-03-01,22,40
2011-04-01,37,24
2011-05-01,27,27
2011-06-01,33,43
2011-07-01,41,56
2011-08-01,38,45
2011-09-01,37,58
2011-10-01,42,35
2011-11-01,42,31
2011-12-01,44,39
2012-01-01,55,67
2012-02-01,59,50
2012-03-01,42,48
2012-04-01,45,62
2012-05-01,46,56
2012-06-01,42,66
2012-07-01,47,77
2012-08-01,53,47
2012-09-01,41,43
2012-10-01,47,58
2012-11-01,60,28
2012-12-01,51,58
2013-01-01,45,53
2013-02-01,39,44
2013-03-01,47,44
2013-04-01,61,66
2013-05-01,44,53
2013-06-01,55,79
2013-07-01,41,50
2013-08-01,50,53
2013-09-01,66,59
2013-10-01,61,54
2013-11-01,53,45
2013-12-01,72,57
2014-01-01,59,71
2014-02-01,61,49
2014-03-01,57,64
2014-04-01,59,62
2014-05-01,49,46
2014-06-01,60,60
2014-07-01,77,75
2014-08-01,80,77
2014-09-01,77,59
2014-10-01,52,59
2014-11-01,65,62
2014-12-01,52,64
2015-01-01,79,75
2015-02-01,59,46
2015-03-01,59,64
2015-04-01,71,57
2015-05-01,70,47
2015-06-01,65,56
2015-07-01,52,56
2015-08-01,72,81
2015-09-01,79,70
2015-10-01,73,42
2015-11-01,100,51
2015-12-01,76,52
2016-01-01,81,43
2016-02-01,91,58
2016-03-01,76,49
2016-04-01,62,32
2016-05-01,75,40
2016-06-01,65,55
2016-07-01,78,61
2016-08-01,77,55
2016-09-01,71,62
2016-10-01,77,51
2016-11-01,72,44
2016-12-01,80,67
2017-01-01,78,53
