date,incognito browser,how to browse anonymously
2011-01-01,18,7
2011-02-01,15,5
2011-03-01,22,6
2011-04-01,19,5
2011-05-01,22,4
2011-06-01,30,10
2011-07-01,34,10
2011-08-01,28,9
2011-09-01,20,9
2011-10-01,24,9
2011-11-01,40,5
2011-12-01,39,7
2012-01-01,31,10
2012-02-01,30,13
2012-03-01,32,10
2012-04-01,34,12
2012-05-01,28,10
2012-06-01,41,10
2012-07-01,35,14
2012-08-01,40,12
2012-09-01,31,12
2012-10-01,43,10
2012-11-01,40,11
2012-12-01,44,10
2013-01-01,46,12
2013-02-01,42,10
2013-03-01,47,12
2013-04-01,44,12
2013-05-01,53,12
2013-06-01,55,11
2013-07-01,58,8
2013-08-01,62,13
2013-09-01,58,12
2013-10-01,60,9
2013-11-01,68,8
2013-12-01,67,13
2014-01-01,77,12
2014-02-01,67,14
2014-03-01,70,11
2014-04-01,57,15
2014-05-01,58,10
2014-06-01,69,15
2014-07-01,68,18
2014-08-01,78,12
2014-09-01,65,11
2014-10-01,76,14
2014-11-01,78,11
2014-12-01,87,12
2015-01-01,84,14
2015-02-01,76,10
2015-03-01,67,12
2015-04-01,84,14
2015-05-01,83,11
2015-06-01,77,7
2015-07-01,85,12
2015-08-01,90,18
2015-09-01,78,13
2015-10-01,81,13
2015-11-01,81,10
2015-12-01,86,9
2016-01-01,87,10
2016-02-01,86,13
2016-03-01,90,13
2016-04-01,84,7
2016-05-01,88,6
2016-06-01,93,9
2016-07-01,87,12
2016-08-01,90,9
2016-09-01,92,9
2016-10-01,91,9
2016-11-01,91,11
2016-12-01,91,13
2017-01-01,100,11
