date,how to browse privately,how to browse anonymously
2011-01-01,23,40
2011-02-01,27,27
2011-03-01,16,35
2011-04-01,32,26
2011-05-01,16,24
2011-06-01,29,53
2011-07-01,27,55
2011-08-01,39,52
2011-09-01,23,48
2011-10-01,38,50
2011-11-01,22,29
2011-12-01,25,38
2012-01-01,35,55
2012-02-01,27,70
2012-03-01,28,56
2012-04-01,16,67
2012-05-01,16,57
2012-06-01,30,56
2012-07-01,23,77
2012-08-01,42,64
2012-09-01,44,65
2012-10-01,23,55
2012-11-01,25,61
2012-12-01,25,54
2013-01-01,35,68
2013-02-01,29,54
2013-03-01,22,69
2013-04-01,17,64
2013-05-01,20,68
2013-06-01,31,61
2013-07-01,41,46
2013-08-01,49,70
2013-09-01,32,65
2013-10-01,38,49
2013-11-01,43,42
2013-12-01,78,69
2014-01-01,53,66
2014-02-01,31,79
2014-03-01,40,62
2014-04-01,24,84
2014-05-01,40,55
2014-06-01,43,80
2014-07-01,43,100
2014-08-01,30,67
2014-09-01,40,61
2014-10-01,53,77
2014-11-01,59,59
2014-12-01,54,67
2015-01-01,74,77
2015-02-01,36,57
2015-03-01,38,63
2015-04-01,41,77
2015-05-01,34,59
2015-06-01,42,39
2015-07-01,74,64
2015-08-01,45,99
2015-09-01,40,74
2015-10-01,46,72
2015-11-01,52,53
2015-12-01,49,49
2016-01-01,52,52
2016-02-01,47,69
2016-03-01,45,69
2016-04-01,36,40
2016-05-01,44,33
2016-06-01,52,52
2016-07-01,48,66
2016-08-01,45,50
2016-09-01,24,49
2016-10-01,37,52
2016-11-01,47,63
2016-12-01,36,71
2017-01-01,44,61
