date,anonymous browsing,how to browse anonymously
2011-01-01,100,4
2011-02-01,99,3
2011-03-01,100,3
2011-04-01,80,1
2011-05-01,79,2
2011-06-01,85,6
2011-07-01,80,6
2011-08-01,81,5
2011-09-01,94,4
2011-10-01,81,7
2011-11-01,72,2
2011-12-01,74,3
2012-01-01,90,5
2012-02-01,90,7
2012-03-01,82,5
2012-04-01,84,8
2012-05-01,73,5
2012-06-01,77,4
2012-07-01,74,8
2012-08-01,80,7
2012-09-01,64,5
2012-10-01,65,7
2012-11-01,78,6
2012-12-01,79,6
2013-01-01,60,6
2013-02-01,60,6
2013-03-01,56,7
2013-04-01,64,7
2013-05-01,56,6
2013-06-01,60,5
2013-07-01,51,5
2013-08-01,59,7
2013-09-01,56,7
2013-10-01,50,5
2013-11-01,54,5
2013-12-01,46,7
2014-01-01,51,7
2014-02-01,42,8
2014-03-01,53,6
2014-04-01,43,9
2014-05-01,49,5
2014-06-01,56,7
2014-07-01,61,8
2014-08-01,52,6
2014-09-01,46,7
2014-10-01,44,8
2014-11-01,50,6
2014-12-01,44,6
2015-01-01,47,8
2015-02-01,43,4
2015-03-01,41,6
2015-04-01,40,7
2015-05-01,37,6
2015-06-01,39,4
2015-07-01,43,5
2015-08-01,43,10
2015-09-01,43,7
2015-10-01,41,6
2015-11-01,38,5
2015-12-01,42,4
2016-01-01,37,5
2016-02-01,33,7
2016-03-01,36,7
2016-04-01,33,4
2016-05-01,35,2
2016-06-01,35,5
2016-07-01,36,6
2016-08-01,36,5
2016-09-01,31,4
2016-10-01,33,6
2016-11-01,32,6
2016-12-01,33,7
2017-01-01,29,6
