date,browse anonymous,how to browse anonymously
2011-01-01,82,38
2011-02-01,83,26
2011-03-01,88,34
2011-04-01,89,25
2011-05-01,93,23
2011-06-01,91,51
2011-07-01,100,53
2011-08-01,67,50
2011-09-01,70,46
2011-10-01,60,48
2011-11-01,79,28
2011-12-01,82,36
2012-01-01,84,52
2012-02-01,67,67
2012-03-01,84,53
2012-04-01,69,64
2012-05-01,68,54
2012-06-01,48,54
2012-07-01,67,74
2012-08-01,77,61
2012-09-01,72,62
2012-10-01,56,53
2012-11-01,74,59
2012-12-01,57,52
2013-01-01,67,65
2013-02-01,46,51
2013-03-01,53,66
2013-04-01,63,62
2013-05-01,54,65
2013-06-01,63,58
2013-07-01,61,44
2013-08-01,59,67
2013-09-01,40,62
2013-10-01,58,47
2013-11-01,74,40
2013-12-01,56,67
2014-01-01,62,64
2014-02-01,52,76
2014-03-01,58,60
2014-04-01,54,80
2014-05-01,57,53
2014-06-01,46,77
2014-07-01,70,96
2014-08-01,54,64
2014-09-01,29,58
2014-10-01,45,74
2014-11-01,46,57
2014-12-01,47,64
2015-01-01,48,74
2015-02-01,43,55
2015-03-01,50,61
2015-04-01,38,74
2015-05-01,32,57
2015-06-01,28,37
2015-07-01,42,61
2015-08-01,42,95
2015-09-01,36,71
2015-10-01,34,69
2015-11-01,37,51
2015-12-01,48,47
2016-01-01,34,50
2016-02-01,42,66
2016-03-01,42,66
2016-04-01,49,38
2016-05-01,47,32
2016-06-01,39,50
2016-07-01,51,63
2016-08-01,34,48
2016-09-01,55,47
2016-10-01,41,50
2016-11-01,28,60
2016-12-01,37,68
2017-01-01,43,59
