date,how to know if your phone is being tracked by police,can someone read my text messages from their phone
2011-01-01,0,66
2011-02-01,0,62
2011-03-01,0,62
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,49
2012-06-01,0,50
2012-07-01,0,0
2012-08-01,0,0
2012-09-01,0,0
2012-10-01,0,0
2012-11-01,0,0
2012-12-01,0,0
2013-01-01,0,0
2013-02-01,0,45
2013-03-01,0,0
2013-04-01,0,0
2013-05-01,0,0
2013-06-01,40,0
2013-07-01,39,0
2013-08-01,39,0
2013-09-01,0,0
2013-10-01,0,0
2013-11-01,0,38
2013-12-01,0,35
2014-01-01,0,35
2014-02-01,0,35
2014-03-01,0,35
2014-04-01,0,35
2014-05-01,35,0
2014-06-01,56,0
2014-07-01,76,0
2014-08-01,0,0
2014-09-01,0,0
2014-10-01,0,0
2014-11-01,0,0
2014-12-01,0,0
2015-01-01,0,0
2015-02-01,36,0
2015-03-01,32,0
2015-04-01,32,34
2015-05-01,32,33
2015-06-01,66,33
2015-07-01,32,33
2015-08-01,32,33
2015-09-01,31,31
2015-10-01,30,31
2015-11-01,46,31
2015-12-01,61,31
2016-01-01,58,29
2016-02-01,58,29
2016-03-01,29,55
2016-04-01,29,28
2016-05-01,29,28
2016-06-01,29,43
2016-07-01,29,57
2016-08-01,35,27
2016-09-01,42,27
2016-10-01,52,27
2016-11-01,66,54
2016-12-01,79,27
2017-01-01,100,38
