date,intercept text messages without target phone,can someone read my text messages from their phone
2011-01-01,0,47
2011-02-01,0,44
2011-03-01,0,44
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,39,0
2011-11-01,36,0
2011-12-01,36,0
2012-01-01,36,0
2012-02-01,34,0
2012-03-01,34,0
2012-04-01,72,0
2012-05-01,34,34
2012-06-01,35,35
2012-07-01,34,0
2012-08-01,34,0
2012-09-01,34,0
2012-10-01,31,0
2012-11-01,31,0
2012-12-01,28,0
2013-01-01,28,0
2013-02-01,33,32
2013-03-01,37,0
2013-04-01,56,0
2013-05-01,61,0
2013-06-01,66,0
2013-07-01,55,0
2013-08-01,28,28
2013-09-01,27,27
2013-10-01,26,27
2013-11-01,26,27
2013-12-01,79,25
2014-01-01,41,25
2014-02-01,40,27
2014-03-01,24,24
2014-04-01,37,25
2014-05-01,37,26
2014-06-01,28,28
2014-07-01,67,27
2014-08-01,41,26
2014-09-01,60,26
2014-10-01,57,26
2014-11-01,42,26
2014-12-01,37,25
2015-01-01,35,24
2015-02-01,50,24
2015-03-01,80,24
2015-04-01,39,24
2015-05-01,57,23
2015-06-01,54,23
2015-07-01,46,23
2015-08-01,30,23
2015-09-01,22,22
2015-10-01,42,22
2015-11-01,72,22
2015-12-01,22,22
2016-01-01,55,21
2016-02-01,62,21
2016-03-01,29,29
2016-04-01,50,26
2016-05-01,45,26
2016-06-01,50,34
2016-07-01,27,41
2016-08-01,46,20
2016-09-01,33,24
2016-10-01,37,28
2016-11-01,63,32
2016-12-01,62,19
2017-01-01,100,24
