date,how can i tell if someone is spying on my phone,can someone read my text messages from their phone
2011-01-01,0,55
2011-02-01,0,51
2011-03-01,0,51
2011-04-01,0,0
2011-05-01,51,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,45,0
2012-01-01,43,0
2012-02-01,43,0
2012-03-01,43,0
2012-04-01,43,0
2012-05-01,41,40
2012-06-01,41,42
2012-07-01,41,0
2012-08-01,40,0
2012-09-01,40,0
2012-10-01,36,0
2012-11-01,36,0
2012-12-01,36,0
2013-01-01,37,0
2013-02-01,37,37
2013-03-01,33,0
2013-04-01,33,0
2013-05-01,33,0
2013-06-01,33,0
2013-07-01,33,0
2013-08-01,37,33
2013-09-01,41,29
2013-10-01,45,29
2013-11-01,31,29
2013-12-01,31,29
2014-01-01,29,29
2014-02-01,31,32
2014-03-01,28,29
2014-04-01,41,30
2014-05-01,53,30
2014-06-01,66,33
2014-07-01,32,32
2014-08-01,31,30
2014-09-01,31,30
2014-10-01,58,30
2014-11-01,29,30
2014-12-01,29,30
2015-01-01,83,0
2015-02-01,30,0
2015-03-01,81,0
2015-04-01,55,0
2015-05-01,62,0
2015-06-01,68,0
2015-07-01,68,0
2015-08-01,27,0
2015-09-01,52,0
2015-10-01,62,0
2015-11-01,76,26
2015-12-01,26,26
2016-01-01,37,25
2016-02-01,49,25
2016-03-01,45,34
2016-04-01,35,35
2016-05-01,34,35
2016-06-01,95,41
2016-07-01,83,48
2016-08-01,70,24
2016-09-01,58,34
2016-10-01,76,44
2016-11-01,100,34
2016-12-01,66,22
2017-01-01,94,32
