date,how to tell if someone read your text on android,can someone read my text messages from their phone
2011-01-01,0,37
2011-02-01,0,35
2011-03-01,0,35
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,36,0
2011-08-01,33,0
2011-09-01,33,0
2011-10-01,31,0
2011-11-01,31,0
2011-12-01,29,0
2012-01-01,29,0
2012-02-01,29,0
2012-03-01,29,0
2012-04-01,29,0
2012-05-01,27,28
2012-06-01,42,28
2012-07-01,28,0
2012-08-01,27,0
2012-09-01,27,0
2012-10-01,37,0
2012-11-01,25,0
2012-12-01,25,0
2013-01-01,22,0
2013-02-01,50,25
2013-03-01,22,0
2013-04-01,22,0
2013-05-01,77,0
2013-06-01,23,0
2013-07-01,22,0
2013-08-01,22,23
2013-09-01,33,21
2013-10-01,34,21
2013-11-01,42,21
2013-12-01,26,20
2014-01-01,26,20
2014-02-01,32,22
2014-03-01,57,19
2014-04-01,59,20
2014-05-01,30,20
2014-06-01,22,23
2014-07-01,43,22
2014-08-01,22,21
2014-09-01,41,21
2014-10-01,39,21
2014-11-01,40,21
2014-12-01,53,20
2015-01-01,68,19
2015-02-01,40,19
2015-03-01,28,19
2015-04-01,25,19
2015-05-01,46,19
2015-06-01,50,19
2015-07-01,55,19
2015-08-01,48,19
2015-09-01,41,18
2015-10-01,34,18
2015-11-01,46,18
2015-12-01,35,18
2016-01-01,89,17
2016-02-01,58,17
2016-03-01,62,23
2016-04-01,53,21
2016-05-01,77,21
2016-06-01,59,27
2016-07-01,48,33
2016-08-01,37,16
2016-09-01,52,20
2016-10-01,74,23
2016-11-01,60,26
2016-12-01,100,15
2017-01-01,85,19
