date,instagram profile picture viewer,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,26
2012-06-01,0,13
2012-07-01,7,15
2012-08-01,6,16
2012-09-01,6,96
2012-10-01,6,100
2012-11-01,6,64
2012-12-01,6,62
2013-01-01,9,80
2013-02-01,12,48
2013-03-01,11,47
2013-04-01,5,30
2013-05-01,13,37
2013-06-01,19,53
2013-07-01,13,55
2013-08-01,21,52
2013-09-01,10,43
2013-10-01,12,32
2013-11-01,15,32
2013-12-01,15,47
2014-01-01,9,51
2014-02-01,20,40
2014-03-01,13,34
2014-04-01,21,23
2014-05-01,19,21
2014-06-01,21,39
2014-07-01,25,58
2014-08-01,36,41
2014-09-01,39,29
2014-10-01,35,33
2014-11-01,24,21
2014-12-01,35,24
2015-01-01,35,38
2015-02-01,28,17
2015-03-01,37,15
2015-04-01,29,20
2015-05-01,32,13
2015-06-01,42,20
2015-07-01,24,24
2015-08-01,32,6
2015-09-01,29,11
2015-10-01,24,14
2015-11-01,35,8
2015-12-01,46,23
2016-01-01,35,14
2016-02-01,35,10
2016-03-01,36,18
2016-04-01,36,13
2016-05-01,33,9
2016-06-01,49,13
2016-07-01,65,29
2016-08-01,100,11
2016-09-01,78,19
2016-10-01,72,21
2016-11-01,97,18
2016-12-01,100,12
2017-01-01,97,15
