date,private instagram photo viewer,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,6
2012-02-01,0,9
2012-03-01,0,13
2012-04-01,0,14
2012-05-01,6,15
2012-06-01,6,10
2012-07-01,6,13
2012-08-01,6,16
2012-09-01,6,100
2012-10-01,17,90
2012-11-01,11,52
2012-12-01,9,58
2013-01-01,10,73
2013-02-01,8,38
2013-03-01,8,50
2013-04-01,12,27
2013-05-01,15,43
2013-06-01,5,56
2013-07-01,17,54
2013-08-01,8,51
2013-09-01,10,41
2013-10-01,5,31
2013-11-01,9,24
2013-12-01,11,42
2014-01-01,15,44
2014-02-01,18,27
2014-03-01,14,33
2014-04-01,18,34
2014-05-01,32,27
2014-06-01,22,40
2014-07-01,26,50
2014-08-01,33,39
2014-09-01,12,30
2014-10-01,15,28
2014-11-01,18,18
2014-12-01,15,25
2015-01-01,21,30
2015-02-01,30,15
2015-03-01,18,18
2015-04-01,17,20
2015-05-01,26,12
2015-06-01,15,18
2015-07-01,19,28
2015-08-01,16,5
2015-09-01,19,15
2015-10-01,13,15
2015-11-01,23,10
2015-12-01,23,19
2016-01-01,14,13
2016-02-01,16,9
2016-03-01,21,10
2016-04-01,18,12
2016-05-01,31,11
2016-06-01,27,12
2016-07-01,22,21
2016-08-01,39,16
2016-09-01,47,15
2016-10-01,60,16
2016-11-01,82,14
2016-12-01,94,12
2017-01-01,99,14
