date,instagram private hack,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,2,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,2
2012-02-01,4,3
2012-03-01,3,4
2012-04-01,8,4
2012-05-01,6,5
2012-06-01,12,3
2012-07-01,19,3
2012-08-01,20,4
2012-09-01,20,29
2012-10-01,23,25
2012-11-01,23,16
2012-12-01,35,18
2013-01-01,31,22
2013-02-01,37,11
2013-03-01,38,16
2013-04-01,47,6
2013-05-01,54,15
2013-06-01,54,20
2013-07-01,71,17
2013-08-01,71,17
2013-09-01,83,13
2013-10-01,49,12
2013-11-01,61,6
2013-12-01,73,14
2014-01-01,66,16
2014-02-01,74,6
2014-03-01,72,11
2014-04-01,81,13
2014-05-01,73,8
2014-06-01,75,14
2014-07-01,74,15
2014-08-01,68,13
2014-09-01,64,7
2014-10-01,65,10
2014-11-01,70,6
2014-12-01,63,8
2015-01-01,79,8
2015-02-01,77,5
2015-03-01,75,7
2015-04-01,77,8
2015-05-01,75,3
2015-06-01,89,8
2015-07-01,90,10
2015-08-01,89,1
2015-09-01,71,5
2015-10-01,77,4
2015-11-01,69,3
2015-12-01,73,6
2016-01-01,75,4
2016-02-01,79,2
2016-03-01,66,1
2016-04-01,81,4
2016-05-01,73,3
2016-06-01,91,3
2016-07-01,92,6
2016-08-01,89,5
2016-09-01,91,4
2016-10-01,100,4
2016-11-01,80,3
2016-12-01,89,4
2017-01-01,97,4
