date,view private instagram photos online,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,8,0
2011-08-01,7,0
2011-09-01,7,0
2011-10-01,7,0
2011-11-01,7,0
2011-12-01,7,0
2012-01-01,6,6
2012-02-01,13,9
2012-03-01,6,13
2012-04-01,16,14
2012-05-01,15,15
2012-06-01,23,10
2012-07-01,27,13
2012-08-01,37,16
2012-09-01,12,100
2012-10-01,13,90
2012-11-01,11,52
2012-12-01,17,58
2013-01-01,12,73
2013-02-01,9,38
2013-03-01,8,50
2013-04-01,22,27
2013-05-01,20,43
2013-06-01,18,56
2013-07-01,15,54
2013-08-01,33,51
2013-09-01,18,41
2013-10-01,17,31
2013-11-01,9,24
2013-12-01,22,42
2014-01-01,18,44
2014-02-01,27,27
2014-03-01,19,33
2014-04-01,21,34
2014-05-01,38,27
2014-06-01,37,40
2014-07-01,23,50
2014-08-01,21,39
2014-09-01,30,30
2014-10-01,34,28
2014-11-01,23,18
2014-12-01,26,25
2015-01-01,20,30
2015-02-01,15,15
2015-03-01,26,18
2015-04-01,42,20
2015-05-01,47,12
2015-06-01,22,18
2015-07-01,30,28
2015-08-01,33,5
2015-09-01,27,15
2015-10-01,28,15
2015-11-01,23,10
2015-12-01,25,19
2016-01-01,31,13
2016-02-01,20,9
2016-03-01,24,10
2016-04-01,22,12
2016-05-01,24,11
2016-06-01,18,12
2016-07-01,19,21
2016-08-01,26,16
2016-09-01,23,15
2016-10-01,23,16
2016-11-01,11,14
2016-12-01,17,12
2017-01-01,15,14
