date,private instagram viewer no survey,how to change instagram privacy settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,6
2012-02-01,0,9
2012-03-01,0,12
2012-04-01,0,13
2012-05-01,0,14
2012-06-01,0,9
2012-07-01,0,12
2012-08-01,0,15
2012-09-01,0,92
2012-10-01,0,83
2012-11-01,0,48
2012-12-01,0,54
2013-01-01,0,68
2013-02-01,0,35
2013-03-01,5,46
2013-04-01,5,25
2013-05-01,0,40
2013-06-01,0,52
2013-07-01,0,50
2013-08-01,0,47
2013-09-01,0,38
2013-10-01,4,29
2013-11-01,4,22
2013-12-01,4,39
2014-01-01,6,41
2014-02-01,7,25
2014-03-01,6,30
2014-04-01,8,32
2014-05-01,14,25
2014-06-01,12,37
2014-07-01,13,46
2014-08-01,17,36
2014-09-01,22,27
2014-10-01,11,26
2014-11-01,13,17
2014-12-01,19,24
2015-01-01,27,27
2015-02-01,22,14
2015-03-01,38,17
2015-04-01,22,18
2015-05-01,51,11
2015-06-01,30,17
2015-07-01,56,26
2015-08-01,53,5
2015-09-01,35,14
2015-10-01,22,14
2015-11-01,46,10
2015-12-01,44,17
2016-01-01,45,12
2016-02-01,48,8
2016-03-01,33,10
2016-04-01,47,11
2016-05-01,55,10
2016-06-01,68,11
2016-07-01,100,19
2016-08-01,80,14
2016-09-01,65,14
2016-10-01,78,15
2016-11-01,62,13
2016-12-01,60,12
2017-01-01,45,13
