date,how to encrypt text messages,best private messaging app
2011-01-01,29,0
2011-02-01,31,0
2011-03-01,0,0
2011-04-01,29,0
2011-05-01,0,0
2011-06-01,29,0
2011-07-01,28,28
2011-08-01,45,0
2011-09-01,26,26
2011-10-01,25,0
2011-11-01,33,0
2011-12-01,33,0
2012-01-01,23,0
2012-02-01,0,23
2012-03-01,0,0
2012-04-01,46,46
2012-05-01,22,21
2012-06-01,45,0
2012-07-01,29,0
2012-08-01,36,22
2012-09-01,36,22
2012-10-01,33,20
2012-11-01,33,40
2012-12-01,20,20
2013-01-01,36,63
2013-02-01,40,0
2013-03-01,24,18
2013-04-01,48,0
2013-05-01,35,17
2013-06-01,42,27
2013-07-01,18,35
2013-08-01,26,35
2013-09-01,26,26
2013-10-01,33,16
2013-11-01,33,17
2013-12-01,34,0
2014-01-01,55,16
2014-02-01,51,0
2014-03-01,15,25
2014-04-01,37,24
2014-05-01,16,32
2014-06-01,29,35
2014-07-01,40,63
2014-08-01,52,52
2014-09-01,44,71
2014-10-01,63,37
2014-11-01,22,32
2014-12-01,55,16
2015-01-01,25,50
2015-02-01,27,69
2015-03-01,58,34
2015-04-01,50,22
2015-05-01,51,29
2015-06-01,50,45
2015-07-01,44,29
2015-08-01,24,48
2015-09-01,52,43
2015-10-01,54,54
2015-11-01,42,28
2015-12-01,28,37
2016-01-01,62,40
2016-02-01,26,35
2016-03-01,41,70
2016-04-01,47,17
2016-05-01,58,70
2016-06-01,39,47
2016-07-01,34,47
2016-08-01,34,59
2016-09-01,54,58
2016-10-01,36,40
2016-11-01,68,100
2016-12-01,88,72
2017-01-01,45,41
