date,encrypted message app,best private messaging app
2011-01-01,24,0
2011-02-01,26,0
2011-03-01,24,0
2011-04-01,24,0
2011-05-01,24,0
2011-06-01,24,0
2011-07-01,24,0
2011-08-01,0,0
2011-09-01,0,22
2011-10-01,0,20
2011-11-01,0,20
2011-12-01,0,18
2012-01-01,0,18
2012-02-01,19,18
2012-03-01,18,18
2012-04-01,19,38
2012-05-01,18,19
2012-06-01,18,19
2012-07-01,18,18
2012-08-01,18,18
2012-09-01,18,18
2012-10-01,16,27
2012-11-01,33,22
2012-12-01,32,33
2013-01-01,15,45
2013-02-01,24,16
2013-03-01,34,24
2013-04-01,22,15
2013-05-01,43,15
2013-06-01,29,15
2013-07-01,29,29
2013-08-01,36,14
2013-09-01,35,14
2013-10-01,20,27
2013-11-01,18,27
2013-12-01,14,13
2014-01-01,26,13
2014-02-01,35,14
2014-03-01,34,25
2014-04-01,13,26
2014-05-01,35,13
2014-06-01,15,37
2014-07-01,29,29
2014-08-01,29,33
2014-09-01,18,45
2014-10-01,39,39
2014-11-01,13,36
2014-12-01,35,35
2015-01-01,37,20
2015-02-01,31,53
2015-03-01,32,24
2015-04-01,18,16
2015-05-01,30,28
2015-06-01,30,25
2015-07-01,28,36
2015-08-01,24,48
2015-09-01,35,12
2015-10-01,22,45
2015-11-01,72,27
2015-12-01,39,43
2016-01-01,18,33
2016-02-01,36,27
2016-03-01,51,37
2016-04-01,81,21
2016-05-01,44,55
2016-06-01,60,18
2016-07-01,68,21
2016-08-01,66,59
2016-09-01,100,48
2016-10-01,52,56
2016-11-01,69,56
2016-12-01,39,36
2017-01-01,47,56
