date,cell phone text message records,best private messaging app
2011-01-01,100,0
2011-02-01,66,0
2011-03-01,31,0
2011-04-01,46,0
2011-05-01,28,0
2011-06-01,53,0
2011-07-01,36,0
2011-08-01,38,0
2011-09-01,74,11
2011-10-01,35,11
2011-11-01,25,11
2011-12-01,28,9
2012-01-01,24,9
2012-02-01,40,9
2012-03-01,25,9
2012-04-01,33,20
2012-05-01,34,10
2012-06-01,24,10
2012-07-01,28,9
2012-08-01,31,9
2012-09-01,21,9
2012-10-01,36,14
2012-11-01,42,11
2012-12-01,31,17
2013-01-01,28,23
2013-02-01,28,8
2013-03-01,32,13
2013-04-01,15,8
2013-05-01,20,8
2013-06-01,20,8
2013-07-01,33,15
2013-08-01,15,7
2013-09-01,29,7
2013-10-01,12,14
2013-11-01,28,14
2013-12-01,17,7
2014-01-01,20,7
2014-02-01,24,7
2014-03-01,26,13
2014-04-01,20,13
2014-05-01,25,7
2014-06-01,33,19
2014-07-01,34,15
2014-08-01,24,17
2014-09-01,19,23
2014-10-01,11,20
2014-11-01,16,18
2014-12-01,25,18
2015-01-01,15,11
2015-02-01,25,27
2015-03-01,21,12
2015-04-01,8,8
2015-05-01,19,15
2015-06-01,27,13
2015-07-01,33,19
2015-08-01,18,25
2015-09-01,30,6
2015-10-01,11,23
2015-11-01,16,14
2015-12-01,22,22
2016-01-01,14,17
2016-02-01,26,14
2016-03-01,16,19
2016-04-01,20,11
2016-05-01,16,28
2016-06-01,20,9
2016-07-01,13,11
2016-08-01,18,31
2016-09-01,14,25
2016-10-01,10,29
2016-11-01,13,29
2016-12-01,8,19
2017-01-01,21,29
